text,sentiment
yamal aviakompaniyasining qarshi aeroportidan mavjud bo‘lmagan parvozi uchun aviachiptalar sotildi o‘zaviatsiya agentligi aviakompaniyalarning mavjud bo‘lmagan reysi uchun aviachiptalarning sotilishi holatlari uchrayotganidan ogohlantirmoqda,positive
xitoyda dunyodagi ilk km soat tezlikda yuradigan hyperloop poyezdi ishga tushiriladi,negative
boxrec talqiniga ko‘ra o‘zbekistonlik bokschilar top taligi tuzildi,positive
soat holatiga mln fuqaro yoki umumiy ovoz beruvchilarning referendumda ovoz berdi fuqarolarning ulush bo‘yicha eng kam ishtiroki toshkent shahrida eng ko‘pi jizzax viloyatida qayd etildi bu referendum o‘tgan deb hisoblashga asos bo‘ladi deya ta’kidladi msk raisi o‘rinbosari bahrom qo‘chqorov,positive
oliy majlis senati raisi tanzila narbayeva yakkasaroy tumanidagi sonli referendum uchastkasida ovoz berdi,positive
bosh vazir abdulla aripov oila a’zolari bilan birga yunusobod tumanidagi referendum uchastkasiga tashrif buyurib referendumda ovoz berdi,positive
tatyana karimova nabirasi maryam tillayeva bilan referendumda ovoz berdi,positive
qirg‘iziston milliy banki va somlik yangi banknotlarni muomalaga chiqaradi,positive
madaniyat va turizm vaziri ozodbek nazarbekov mirzo ulug‘bek tumanidagi saylov uchastkasida bo‘lib referendumda ovoz berdi,positive
surxondaryo viloyatining sherobod tumanida bugun nikoh to‘yi o‘tayotgan kelin kuyovlar referendumda ovoz berishdi,positive
sirdaryoda mln dollarlik o‘zbekistonxitoy biotexnologiyalar klasteri quriladi,negative
madaniy meros agentligi direktori baxodir abdikarimov toshkent shahridagi referendum uchastkasida ovoz berdi,positive
energetika vaziri jo‘rabek mirzamahmudov mirzo ulug‘bek tumanidagi referendum uchastkasida bo‘lib referendumda ovoz berdi,positive
ozodlikdan mahrum etish joylaridagi nafar shaxslar ovoz berish huquqidan foydalanmoqda ichki ishlar vaziri o‘rinbosari bekmurod abdullayev referendumni o‘tkazish bo‘yicha olib borilgan ishlar to‘g‘risida axborot berdi,positive
o‘zbekiston ekologik partiyasi raisi abdushukur xamzayev yangihayot tumanidagi refendum uchastkasida ovoz berdi,positive
qoraqalpog‘iston jo‘qorg‘i kengesi raisi amanbay orinbayev ham referendumda ishtirok etib ovoz berdi,positive
prezident matbuot kotibi sherzod asadov ham referendumda ishtirok etib ovoz berdi,positive
soat holatiga mln fuqaro yoki umumiy ovoz beruvchilarning referendumda ovoz berdi fuqarolarning ulush bo‘yicha eng kam ishtiroki toshkent shahrida eng ko‘pi andijon viloyatida qayd etildi,positive
shavkat mirziyoyev oila a‘zolari bilan referendumda ovoz berdi,positive
oliy ta‘lim fan va innovatsiyalar vaziri ibrohim abdurahmonov mirzo ulug‘bek tumanidagi referendum uchastkasida bo‘lib ovoz berdi,positive
surxondaryo viloyati hokimi ulug‘bek qosimov termiz shahridagi referendum uchastkasida ovoz berdi,positive
o‘zbekiston prezidenti administrasiyasi rahbari sardor umurzakov referendumda ishtirok etib ovoz berdi,positive
toshkent xalqaro investitsiya forumida milliard dollarlik ta kelishuv imzolandi,positive
qurilish va uy joy kommunal xo‘jaligi vaziri botir zokirov ham andijon shahridagi referendum uchastkasida ovoz berdi,positive
jizzax viloyati hokimi ergash soliyev jizzax shahrining toshloq mahallasidagi referendum uchastkasida ovoz berdi,positive
toshkent vaqti bilan ertalab soat da o‘zbekistonning yaponiya va janubiy koreyadagi vakolatxonalarida yangi tahrirdagi konstitutsiya bo‘yicha referendumning dastlabki uchastkalari ochildi oxirgi uchastka may toshkent vaqti bilan da aqshda yopiladi,positive
qashqadaryo viloyati hokimi murodjon azimov qarshi shahridagi referendum uchastkasida ovoz berdi,positive
raqamli texnologiyalar vaziri sherzod shermatov oilaviy shayxontohur tumanidagi referendum uchastkasida ovoz berdi,positive
farg‘ona viloyati hokimi xayrullo bozorov farg‘ona shahridagi referendum uchastkasida ovoz berdi,positive
yengil atletika sharifa davronova rekord bilan osiyo chempionligini qoʻlga kiritdi,positive
o‘zbekiston musulmonlari idorasi raisi muftiy nuriddin xoliqnazarov toshkent shahri yakkasaroy tumanida joylashgan saylov uchastkasiga kelib o‘zbekiston konstitusiyasiga o‘zgartish va qo‘shimchalar kiritish yuzasidan o‘tkazilgan referendumda ovoz berdi,positive
toshkent viloyati hokimi zoyir mirzayev nurafshon shahridagi referendum uchastkasida ovoz berdi,positive
prezident administrasiyasi rahbarining o‘rinbosari komil allamjonov ham referendumda ovoz berdi,positive
sirdaryo viloyati hokimi akmaljon mahmudaliyev guliston shahrida tashkil qilingan referendum uchastkasida ovoz berish jarayolarida ishtirok etdi,positive
buxoro viloyati hokimi botir zaripov buxoro shahridagi referendum uchastkasida ovoz berdi,positive
samarqand viloyati hokimi erkinjon turdimov samarqand shahridagi umumiy o‘rta ta’lim maktabida joylashgan referendum uchastkasiga borib birinchilar qatorida ovoz berdi,positive
referendumda ovoz berish qizg‘in davom etmoqda o‘zbekistonliklar o‘z fuqarolik pozitsiyasini bildirish uchun ertalabdan saylov uchastkalariga kelmoqda,positive
o‘zbekiston respublikasining referedumida ovoz berish tartibi fuqaro ovoz berish binosiga kelgach uchastka komissiyasi aʼzosiga o‘z shaxsini tasdiqlovchi hujjatni ko‘rsatadi ovoz beruvchi fuqarolar ro‘yxatiga imzo qo‘yadi fuqaroga ovoz berish byulleteni beriladi byulleten ovoz beruvchi tomonidan yashirin ovoz berish kabinasi yoki xonasida to‘ldiriladi fuqaro byulletenda referendumga qo‘yilayotgan masala bo‘yicha o‘zi ov,negative
o‘zbekiston respublikasi konstitutsiyaviy qonuni loyihasi bo‘yicha referendumda ovoz berish boshlandi soat da respublika bo‘ylab tashkil etilgan ta uchastka o‘z eshiklarini ochdi referendumda ovoz berish soat davom etib o‘zbekiston hududida soat da o‘z nihoyasiga yetadi fuqarolar saylov byulletenida bitta savolga javob berishi kerak siz o‘zbekiston respublikasining konstitusiyasi to‘g‘risidagi o‘zbekiston respubli,negative
aprel oyining so‘nggi kuni o‘zbekiston bo‘ylab qanday ob havo kuzatilishi ma‘lum bo‘ldi,positive
erdo‘g‘an bu yil xalqaro kosmik stansiyaga uchadigan birinchi turk kosmonavtini ma‘lum qildi,positive
o‘zbekiston syerra leone respublikasi bilan diplomatik munosabatlarni o‘rnatdi,positive
erdo‘g‘an kasal bo‘lganidan keyin birinchi marta omma oldida chiqish qildi,positive
farg‘onada farzandini davolatish uchun qariyb mln so‘m o‘tkazib berishni so‘ragan kiber shovvoz qo‘lga olindi u yilgacha ozodlikdan mahrum qilinishi mumkin,positive
oyda o‘zbekistonda ta qizamiq bilan kasallanish holatlari tasdiqlandi sanepidqo‘mita,negative
xalqaro moliya institutlari amalga oshirayotgan loyihalar doirasida sotib olinadigan tovarlarga qqs boʻyicha imtiyoz qoʻllaniladi,positive
navalniyni ozod qiling jud lou mixail barishnikov joan rouling va boshqa nafar taniqli aktyorlar jurnalistlar yozuvchilar va rejissyorlar putinga ochiq xat yozishdi,positive
namanganda qariyb ming dollar qalbaki pullarni sotmoqchi bo‘lgan shaxs qo‘lga olindi,positive
parijda pensiya islohotiga qarshi bo‘lib o‘tgan namoyishlardan ko‘rilgan zarar million dollarga baholandi,positive
toshkentdagi avtobuslarning birida yong‘in sodir bo‘ldi,positive
banklar ehtiyojidan ortiqcha naqd pullarni boshqa banklarga taklif qilish imkoniyati joriy etiladi,positive
prezident shavkat mirziyoyev may kuni germaniyaga tashrif buyuradi tashrif chog‘ida jeyms simons galereyasida o‘zbekistonning arxeologik xazinalari makedoniyalik iskandardan kushonlar imperiyasigacha nomli ko‘rgazmaning ochilishi rejalashtirilgan,positive
o‘zbekistonda may oyining boshi qanday ob havo bilan boshlanishi ma‘lum bo‘ldi,positive
farg‘ona viloyatida erkak xotini va qaynotasini pichoqlab o‘ldirdi holat yuzasidan shu kunning o‘zida jinoyat ishi qo‘zg‘atilgan,negative
vladimir zelenskiy qrimga qarshi hujum boshlanishini e‘lon qildi,negative
siz sug‘urta kompaniyalari xizmatlaridan foydalanganmisiz unda quyidagi havola orqali o’tib kichik sotsiologik so‘rovnomada ishtirok etishingizni so’raymiz,positive
xitoy qirg‘iziston o‘zbekiston temiryo‘li loyihasining texnik iqtisodiy asoslari tayyorlandi,positive
farg‘onada quloqchin taqib relsda o‘tirgan yoshli yigit yuk poyezdi bosib ketishi oqibatida vafot etdi,negative
ilhom qilichxanov nurafshon shahar hokimi etib tayinlandi,positive
arab astronavti birinchi marta koinotga chiqdi,positive
o‘zbekistonda yil sentabrdan talabalarga ijara to‘lovi bir qismini qoplab berishning soddalashtirilgan tartibi joriy etiladi,positive
joriy yilning aprel kuni toshkent metropolitenining barcha bekatlari soat dan ish faoliyatini boshlaydi shuningdek bu kunda yo‘nalishlarda poyezdlar harakati ish kunlari uchun tasdiqlangan doimiy jadval asosida tashkillashtiriladi avtobuslar harakati ish kunlari jadvali asosida tashkil etiladi,positive
prezidentlikka nomzod kamol qilichdorog’li turkiyaning yevropa ittifoqiga kirishini va‘da qildi,negative
xitoydagi osiyo chempionatida o‘zbekistonlik harbiy sportchilar ta oltin medalni qo‘lga kiritdi,positive
namanganda dala shiyponida voyaga yetmagan qiz bilan uchrashib o‘tirgan yoshli yigit samosud qilindi,positive
iroqda umrbodga va uzoq muddatlarga qamalgan o‘zbekistonlik ayollar shavkat mirziyoyevdan yordam so‘rab murojaat qilishdi bosh prokuratura holat bo‘yicha munosabt bildirdi batafsil,negative
oʻzbekistonda reproduktiv tibbiyot va genetika instituti tashkil etildi,positive
oʻzbekiston va ozarbayjon oʻrtasida harbiy soha va harbiy texnikaviy hamkorlik toʻgʻrisidagi bitimlar ratifikatsiya qilindi,positive
o‘zbekistonda yilning birinchi choragida o‘rtacha hisoblangan nominal ish haqi mln so‘mni tashkil qildi,negative
ta lacetti va bitta cobalt sirdaryoda ta mashina ishtirokida yth sodir bo‘ldi,negative
aprel kuni o‘zbekiston bo‘ylab qanday ob havo kuzatilishi ma‘lum bo‘ldi,positive
xitoyda umumiy quvvati million kw boʻlgan ta atom elektr stansiyalari qurilmoqda,positive
o‘zbekiston va xitoy o‘rtasida biotexnologiya sohasini rivojlantirish uchun mln dollarlik memorandum imzolandi,positive
uzbekistan airways jakartaga muntazam aviaqatnovlarni yo‘lga qo‘ydi,positive
yunusoboddagi yo‘layriq mahallasida ajrimlar ko‘paygani uchun mahalla nomi obihayotga o‘zgarishi mumkin,positive
namanganda yoshli bola damas urib ketishi natijasida vafot etdi,negative
bmtning oziq ovqat va qishloq xo‘jaligi tashkiloti yilda dunyo bo‘yicha qancha odam ochlik tahdidi ostida qolishini ma‘lum qildi,negative
buxorodagi ustaxonada gaz balloni yorilib ketishi oqibatida kishi foiz kuyish bilan shifoxonaga yotqizildi,negative
o‘zbekistonlik eshkak eshuvchilar osiyo chempionatining uchinchi kunida ta oltin va ta kumush medal jamgʻarishdi,positive
shavkat mirziyoyev o‘zbekiston musulmonlari idorasi raisi muftiy nuriddin xoliqnazarovni qabul qildi,positive
germaniya ukrainaga leopard tanklarini topshirishini e‘lon qildi,negative
vengriya kompaniyasi o‘zbekistonda parrandalarni chiqindisiz qayta ishlovchi klaster tashkil etishi mumkin qishloq xo‘jaligi vaziri aziz voitov vengriyaning master good kompaniyasi asoschisi va bosh direktori laslo baranyi bilan uchrashdi,positive
jsst sudanda bosib olingan laboratoriyada vabo va sil kasalligi namunalari saqlanmoqda,negative
bulung‘urda o‘quvchi qizlar mushtlashdi,positive
energetika mehmonxona hamda ekologiya toshkent xalqaro iqtisodiy forumi doirasida bir qator xorijiy kompaniyalar bilan kelishuvlar imzolandi,positive
toshkent shahrini mlrd dollarga sotmoqchi bo‘lgan yigit qo‘lga olindi,positive
referendumda qancha fuqaro muddatidan oldin ovoz bergani ma’lum bo‘ldi,positive
xonanda shoirga mln soʻm tovon puli toʻlaydi,positive
bmt ukrainada uranli snaryadlardan foydalanish ehtimolidan xavotirda ekanligini ma‘lum qildi,negative
boks boʻyicha oʻzbekiston terma jamoasining jahon chempionatida qatnashadigan tarkibi ma‘lum bo‘ldi may kunlari toshkent shahri ilk bor kattalar oʻrtasidagi jahon chempionatiga mezbonlik qiladi,positive
bugun uzreport tv telekanali ish boshlaganiga yil to‘ldi ushbu bayram kuni biz barcha hamkorlar va tomoshabinlarga minnatdorchilik bildirmoqchimiz biz siz bilan voqealar rivojini kuzatishda davom etamiz,positive
maydan o‘zbekistonda nimalar o‘zgaradi,positive
baaning abu dhabi sewerage services kompaniyasi toshkentda oqava suvlarni to‘plash va tozalash inshootini quradi,positive
shavkat mirziyoyev yevropa ittifoqining sanksiyalar bo‘yicha maxsus vakilini qabul qildi,positive
energetika vaziri jo‘rabek mirzamaxmudov o‘zbekistonda gaz qazib olish hajmi qisqarganiga izoh berdi,negative
dam olish kunlari o‘zbekiston hududining katta qismida havo ochiq va quyoshli bo‘lishi kutilmoqda,positive
o‘zbekiston hukumati qozog‘iston bilan atrof muhitni muhofaza qilishga doir kelishuvga erishdi,positive
o‘zbekistondagi jamoat transportlarida atto orqali million to‘lov amalga oshirildi,positive
rg brands dan tanlovda ishtirok eting va har hafta yangi iphone har kuni ming so‘mlik mobil to‘lovlarni yutib oling ishtirok etish uchun ishtirok etaman tugmasini bosing qisqa ro‘yxatdan o‘tish jarayonidan o‘ting va rg brands kanaliga obuna bo‘ling va’da beramiz u yerda qiziqarli narsalar juda ko‘p,positive
islom taraqqiyot banki o‘zbekistonda ta loyihani amalga oshirish uchun salkam mln ajratadi,positive
o‘zbekiston hukumati janubiy koreya kompaniyasi bilan chiqindi gazidan elektr energiyasi olishga doir bitim imzoladi loyiha qiymati mln aqsh dollariga teng,positive
aqsh va yevropa muxolifatga prezident erdo‘g‘anni lavozimidan chetlatish bo‘yicha ko‘rsatma berdi turkiya iiv,negative
pubgdagi profilini ming dollarga sotib profilni bermagan samarqandlik yigit qo‘lga olindi,positive
mudofaa vaziri aleksey reznikov ukraina uchun eng kerakli qurollar nomini aytdi,negative
qashqadaryo va buxoroda har birining quvvati mvtdan boʻlgan ikkita quyosh fotoelektr stansiyasini qurish boʻyicha bitimlar imzolandi,positive
fdg kompaniyasi yil aprel oyida o‘zining olti yilligini nishonlamoqda biz yutuqlarimizni siz bilan baham ko‘rishdan mamnunmiz fdg kompaniyasi yilda tashkil topgan olti yil mobaynida m dan ortiq uy joy va tijorat ko‘chmas mulklari qurildi gektar yer maydoni o‘zlashtirildi dan ortiq oila o‘z orzulari sari yo‘l ochib hozirda yangi va qulay fdg xonadonlarida istiqomat qilib kelmoqda o‘nlab professionallardan,positive
sun‘iy intellekt real madridda benzema o‘rniga mukammal o‘rinbosarni tanladi fransiyalik hujumchining o‘rnini munosib to‘ldira oladigan goleadorni izlash uchun olocip sun’iy intellektidan foydalanildi qayd etilishicha bu intellekt jamoalardagi o‘yinchilar imkoniyatlari kiritilgan yagona texnologiyadir,positive
qozog‘istonda ifloslangan atmosfera havosi tufayli aholi o‘rtasida o‘lim darajasi ortib bormoqda mamlakat atmosfera ifloslanishidan kelib chiqadigan kasalliklarga har yili milliard dollar sarflashi ma‘lum bo‘ldi,negative
energetika vaziri jo‘rabek mirzamahmudov va osiyo infratuzilma investitsiyalari banki vitse prezidenti konstantin limitovskiy o‘rtasida uchrashuv bo‘lib o‘tdi uchrashuvda o‘zbekistonda xalqaro moliya institutlari ko‘magida energetika sohasida amalga oshirilayotgan islohotlar yuzasidan fikrlar almashildi,positive
toshkent shahrining deyarli barcha tumanlarida profilaktika ta’mirlash ishlari olib borilishi munosabati bilan ichimlik suvi vaqtinchalik o‘chiriladi toshkent shahar suv ta‘minoti ichimlik suvi to‘xtatiladigan manzillar va o‘chish vaqti haqidagi ma’lumotlarni taqdim etdi ro‘yxat,positive
sirdaryoda nafar fuqaroning jasadi yashash xonadonidagi hojatxonadan topildi viloyat prokuraturasining xabar berishicha ular hech qanday ehtiyotkorlik choralarini ko‘rmasdan hojatxonaga ichiga tushishgan,negative
yengil atletika osiyo chempionatida sportchi qizimiz maftuna ahmedova bronza medaliga sazovor bo‘ldi,positive
yengil atletikachilarimiz qitʼa birinchiligidagi ilk medallarini qoʻlga kiritishdi,positive
aprel kuni o‘zbekiston bo‘ylab qanday ob havo kuzatilishi ma‘lum bo‘ldi,positive
jsst hindistonda ishlab chiqarilgan yana bir yo‘tal siropi haqida ogohlantirmoqda,positive
prezident maktabilariga talabgorning sinfda matematika va tabiatshunoslik fanlaridan yillik baholari bo‘lishi lozim jo‘rabek jangirov prezident maktablariga o‘quv yiliga qabul shartlari haqida ma’lumot berildi,negative
yilning mart oyi tarixdagi ikkinchi eng issiq oy bo‘ldi,negative
pelening laqabi portugal tili lug‘atiga eng yaxshi so‘zining sinonimi sifatida kiritildi,positive
toshkent metropoliteni yilda rossiyadan yana ta vagon qabul qilib oladi,positive
shavkat mirziyoyev bmt bosh kotibining o‘rinbosari yeik ijrochi kotibi olga algayerovani qabul qildi,positive
putin va erdo‘g‘an telefon orqali muloqot qildi davlat rahbarlari ukrainadagi vaziyat va g’alla bo’yicha kelishuvning hozirgi holatini muhokama qilishgan,positive
shavkat mirziyoyev acwa power kompaniyasining innovatsion loyihalarini qo‘llab quvvatladi,positive
shavkat mirziyoyev vengriya iqtisodiy rivojlanish vaziri marton nadni qabul qildi,positive
toshkentdagi kafeda qafasda saqlanayotgan olmaxon tabiat qoʻyniga qoʻyib yuborildi,positive
dunyoda qizamiqqa chalinish holatlari nega ko‘paymoqda,negative
