text,date,sentiment,promotional,view_count,like_count,dislike_count,love_count,fire_count,happy_count,sad_count,clap_count,think_count,angry_count,total_reactions
" Власти Узбекистана не намерены переносить День Конституции, который сейчас празднуется 8 декабря

",2023-05-02 08:41:29,positive,no,15776.0,74.0,8.0,0.0,3.0,131.0,0.0,1.0,7.0,3.0,227.0
" В Ташкенте сегодня без осадков. Ветер 5-10 м/с. Температура 28-30°, сообщили в Узгидромете.

",2023-05-02 08:19:38,positive,no,16178.0,18.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
" Нейросеть смоделировала идеальные кроссовки для Узбекистана

 Новые автобусы, столкнувшиеся с проблемами

 Школьники, устроившие бойцовский клуб

 А также фейковые похитители

Читайте об этом и многом другом в обзоре главных событий в Узбекистане на 1 мая",2023-05-01 22:02:37,positive,no,19925.0,24.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31.0
,2023-05-01 21:22:56,negative,no,19399.0,20.0,7.0,0.0,0.0,1.0,277.0,3.0,0.0,0.0,308.0
"‍ Любимая пара ташкентского зоопарка снова вместе! 

Сегодня Зузу и его возлюбленная Маша после долгой зимы вновь оказались в одном вольере.

",2023-05-01 19:49:06,positive,no,18974.0,93.0,6.0,0.0,3.0,7.0,4.0,3.0,0.0,0.0,116.0
" ГЛАВНЫЕ НОВОСТИ УЗБЕКИСТАНА К ВЕЧЕРУ 1 МАЯ:  

 В соцсетях распространилось очередное видео с дракой школьников. Оказалось, что дети решили снять свой вариант ""Бойцовского клуба""

 Станет прохладнее. Узгидромет рассказал о погоде на неделе

 СМТУ объявляет о начале приёма документов на 2023-2024 учебный год

 Автобусы",2023-05-01 18:09:35,positive,no,20557.0,22.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28.0
" Через два года Китай будет отмечать 70-летие Синьцзян-Уйгурского автономного района (СУАР). Этот регион появился в составе КНР в 1955 году. С тех пор прошло 68 лет. Но что мы на самом деле знаем о нем? С чем у нас ассоциируется Синьцзян кроме уйгуров? А ведь это уникальная кухня, манящие восточные базары, самые больши",2023-05-01 17:10:42,positive,no,20784.0,94.0,14.0,0.0,3.0,12.0,13.0,0.0,0.0,4.0,140.0
" Комитет по делам религий предупредил узбекистанцев о турфирмах, которые организуют нелегальный хадж в Саудовскую Аравию. За совершение таких поездок граждан Узбекистана могут депортировать из страны, а также обязать оплатить штраф в размере 26 тысяч долларов.

",2023-05-01 17:07:39,positive,no,21018.0,51.0,10.0,0.0,5.0,94.0,1.0,0.0,24.0,4.0,189.0
" На днях автопарки Ташкента получили сразу 400 новеньких китайских автобусов, из которых 114 автобусов длиной 18 метров (гармошки), 169 электробусов и 117 газовых автобусов.

Казалось бы, проблема с общественным транспортом начала решаться, впереди забрезжило светлое будущее, однако тут в дело вступила реальность. В со",2023-05-01 16:15:12,negative,no,21029.0,45.0,112.0,0.0,0.0,66.0,1.0,7.0,6.0,22.0,259.0
" Самаркандский международный технологический университет (СМТУ) объявляет о начале приема на 2023-2024 учебный год по направлению бакалавриата. 

На правах рекламы

",2023-05-01 14:01:51,positive,yes,21675.0,44.0,11.0,0.0,3.0,0.0,4.0,0.0,1.0,1.0,64.0
" В соцсетях появилось видео двух страшных ДТП. 

",2023-05-01 12:13:42,negative,no,20807.0,31.0,12.0,0.0,0.0,8.0,97.0,0.0,0.0,417.0,565.0
" Узгидромет опубликовал прогноз погоды на предстоящую неделю. В ближайшие дни узбекистанцев ждет небольшое снижение температуры. 

",2023-05-01 12:05:47,positive,no,22136.0,153.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0
" Маркетолог и автор телеграм-канала ""Пятницкий маркетинг"" Алишер Джуманиязов при помощи нейросети Midjourney пофантазировал, как бы могли выглядеть кроссовки от известных брендов, посвященные Узбекистану.

",2023-05-01 11:45:31,positive,no,21678.0,163.0,21.0,0.0,4.0,54.0,5.0,0.0,6.0,0.0,253.0
" По предварительным результатам референдума, за новую редакцию Конституции проголосовали свыше 15 миллионов граждан или 90,21 процента принявших участие в голосовании. Итоговая явка составила 84,54%. Об этом сообщила Центральная избирательная комиссия.",2023-05-01 11:18:38,positive,no,22648.0,560.0,188.0,0.0,0.0,115.0,3.0,0.0,20.0,8.0,894.0
" В соцсетях распространилось очередное видео с дракой школьников. Оказалось, что дети решили снять свой вариант ""Бойцовского клуба"". 

",2023-05-01 11:18:35,negative,no,21020.0,16.0,48.0,0.0,0.0,94.0,1.0,0.0,10.0,73.0,242.0
" В Намангане двух человек, приехавших выбивать долг, приняли за похитителей детей

",2023-05-01 10:48:17,positive,no,21114.0,13.0,10.0,0.0,0.0,109.0,6.0,0.0,30.0,6.0,174.0
 Российский Сбербанк установил рекорд в сфере искусственного интеллекта. Созданная подразделением Sber AI генеративная модель Kandinsky 2.1 за четыре дня привлекла более одного миллиона уникальных пользователей. Это принесло ей статус самой быстрорастущей нейросети. На крупнейшем веб-IT-сервис GitHub Kandinsky 2.1 воше,2023-05-01 10:01:45,positive,no,21717.0,201.0,42.0,0.0,2.0,20.0,0.0,8.0,4.0,0.0,277.0
" В Ташкенте произошло очередное страшное ДТП с участием трех автомобилей. Один из них ехал на такой скорости, что после столкновения погнул фонарный столб

",2023-05-01 09:55:49,negative,no,21762.0,25.0,11.0,0.0,0.0,6.0,27.0,0.0,0.0,139.0,208.0
" В соцсетях на днях появилось обращение матери несовершеннолетней девочки. Она утверждает, что хозяин квартиры, которую она снимает, домогался ее дочери

",2023-05-01 09:18:23,negative,no,22340.0,4.0,14.0,0.0,0.0,16.0,11.0,0.0,22.0,287.0,354.0
" Промежуточная явка на референдуме по изменениям в Конституции на 13.00

По данным ЦИК, количество проголосовавших по состоянию на 13:00 превысило 12 миллионов человек. Самая высокая активность зарегистрирована в Джизакской, Андижанской и Сырдарьинской областях (66-67 процентов). Явка избирателей в Ташкенте достигла по",2023-04-30 14:09:24,positive,no,25347.0,216.0,108.0,0.0,0.0,65.0,0.0,0.0,11.0,0.0,400.0
" Шавкат Мирзиёев вместе с членами семьи проголосовал на референдуме по Конституции

",2023-04-30 13:43:53,positive,no,22841.0,261.0,78.0,0.0,3.0,23.0,0.0,0.0,0.0,0.0,365.0
" Свыше 9,6 тысячи осужденных в тюрьмах смогут проголосовать на референдуме. Для них создано 18 участков. 

",2023-04-30 12:59:59,positive,no,23326.0,29.0,29.0,0.0,0.0,93.0,3.0,2.0,0.0,2.0,158.0
" Шавкат Мирзиёев вместе с семьей проголосовал на референдуме

",2023-04-30 12:26:24,positive,no,21642.0,373.0,110.0,0.0,2.0,49.0,0.0,1.0,4.0,0.0,539.0
"Явка на референдуме в Узбекистане на 11:00 составила 35,13%, сообщил заместитель председателя Центризбиркома Бахром Кучкаров. 

Он отметил высокую активность голосующих и сообщил, что серьёзных нарушений к данному времени не зарегистрировано.",2023-04-30 12:25:34,positive,no,22692.0,31.0,64.0,0.0,0.0,152.0,0.0,0.0,7.0,0.0,254.0
" Будет жарко 

30 апреля на большей части территории Узбекистана ожидается температура до +35 градусов.

🤯Максимальная температура в южных районах достигнет +37 градусов.",2023-04-29 18:29:06,negative,no,25631.0,80.0,142.0,0.0,32.0,0.0,24.0,0.0,6.0,6.0,290.0
" Агентство по внешней трудовой миграции Узбекистана опровергло слова министра экономического развития России Максима Решетникова о том, что за последние семь лет число приезжающих работать в РФ трудовых мигрантов из Узбекистана выросло в четыре раза.

",2023-04-29 16:41:32,positive,no,24397.0,52.0,21.0,0.0,0.0,259.0,1.0,10.0,19.0,2.0,364.0
" В Ташкенте стартовал сезон горящих автобусов. На этот раз произошло возгорание в моторной части Mercedes-Benz

",2023-04-29 16:04:13,negative,no,23572.0,14.0,4.0,0.0,14.0,18.0,36.0,0.0,0.0,134.0,220.0
" Президент Узбекистана Шавкат Мирзиёев 2-3 мая этого года посетит Германию с визитом

",2023-04-29 15:33:22,positive,no,24150.0,721.0,260.0,0.0,0.0,0.0,3.0,4.0,35.0,0.0,1023.0
" В Наманганской области водитель на ""Дамасе"" сбил двухлетнего ребенка. Пострадавший скончался в больнице

",2023-04-29 11:44:01,negative,no,23394.0,16.0,12.0,0.0,1.0,1.0,238.0,0.0,0.0,133.0,401.0
" В Сырдарьинской области произошло ДТП с участием шести автомобилей. Его причина – невнимательность одного из водителей на светофоре

",2023-04-29 11:14:24,negative,no,23104.0,54.0,16.0,0.0,0.0,8.0,33.0,1.0,0.0,37.0,149.0
" В Ферганской области мужчина зверски зарезал жену и тестя

",2023-04-29 10:39:28,negative,no,22785.0,21.0,14.0,0.0,3.0,2.0,41.0,3.0,3.0,421.0,508.0
" ГЛАВНЫЕ НОВОСТИ УЗБЕКИСТАНА К УТРУ 29 АПРЕЛЯ:  

 Каким должен быть Ташкент. Эксперты попытались объяснить столичным властям, как нужно развивать город

 Свыше 40 женщин из Узбекистана были приговорены к длительным срокам в Ираке за сотрудничество с ИГИЛ

 В Ташкентском зоопарке мимимишное пополнение – родились верблю",2023-04-29 10:17:15,positive,no,22567.0,28.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0
" В Бухаре в мастерской взорвался газовый баллон, два человека госпитализированы в тяжелом состоянии

",2023-04-29 10:10:32,negative,no,22016.0,14.0,6.0,0.0,0.0,1.0,95.0,0.0,0.0,3.0,119.0
" Вчера в Коканде был замечен небольшой смерч 

",2023-04-29 09:39:18,positive,no,21750.0,20.0,10.0,0.0,0.0,70.0,2.0,0.0,30.0,3.0,135.0
" В Ташкенте сегодня без осадков. Ветер 3-8 м/с. Температура 29-31°, сообщили в Узгидромете.

",2023-04-29 09:27:37,negative,no,22823.0,2.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0
" Оперативники СГБ задержали преступного авторитета по кличке ""Император""

  В Бухарской области нашли образ идеального водителя

  Школьницы, которые устроили массовую драку в Самаркандской области

  А также большие деньги

Читайте об этом и многом другом в обзоре главных событий в Узбекистане на 28 апреля.",2023-04-28 22:34:29,positive,no,23899.0,42.0,6.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,57.0
" В столице в рамках международного инвестиционного форума прошла дискуссия, посвященная комфорту в больших городах, а также инвестициям в урбанизацию и градостроительство. Международные эксперты на примере Ташкента попытались объяснить властям, куда нужно двигаться дальше. Остается надеяться, что в хокимияте примут в р",2023-04-28 22:26:52,positive,no,23355.0,51.0,68.0,0.0,2.0,24.0,2.0,0.0,0.0,0.0,147.0
" 44 женщины из Узбекистана были приговорены к длительным срокам в Ираке за сотрудничество с ИГИЛ. На днях в соцсетях распространилось видеообращение узбекистанок, которые сообщили о нечеловеческих условиях в тюрьме ""Росафа"", где они находятся, и попросили президента Узбекистана помочь им вернуться на Родину

",2023-04-28 22:00:31,negative,no,23052.0,101.0,573.0,0.0,4.0,29.0,12.0,0.0,24.0,68.0,811.0
" В Самаркандской области состоялось очередное мероприятие под лозунгом «Конституция – наша!»

«Раньше, если возникал конфликт в отношениях между государством и гражданином, государство имело превосходство. Теперь согласно обновляемой Конституции, достоинство и интересы человека займут высшее место», – говорит один из м",2023-04-28 20:59:07,positive,no,22473.0,373.0,178.0,0.0,0.0,21.0,0.0,0.0,8.0,0.0,580.0
" В Ташкентском зоопарке мимимишное пополнение – родились верблюжонок дромадер и малышка пони

",2023-04-28 19:50:38,positive,no,23406.0,108.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,114.0
" На этой неделе в Узбекистане состоится знаковое для страны событие – референдум по внесению изменений в Конституцию. О том, что значат для Узбекистана предстоящие перемены, рассказал первый заместитель председателя Законодательной палаты Олий Маджлиса Акмаль Саидов.

",2023-04-28 19:30:02,negative,no,22908.0,30.0,203.0,0.0,0.0,65.0,0.0,0.0,13.0,1.0,312.0
" ГЛАВНЫЕ НОВОСТИ УЗБЕКИСТАНА К ВЕЧЕРУ 28 АПРЕЛЯ:  

 В Ташкентской области задержан неоднократно судимый лидер преступной группировки по кличке ""Император""

 В Ташкенте стартовали традиционные отключения холодной воды. График по районам

 Звезда в шоке. Певец заплатил мужчине за ротацию его песен на радио и ТВ. Позже в",2023-04-28 19:12:16,positive,no,22600.0,23.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,32.0
" ""Ремонтно-профилактические работы будут проходить только в будние дни недели, чтобы не доставлять неудобств населению. В пятницу, субботу и воскресенье подача питьевой воды не будет прекращаться ни в одном районе столицы"", – добавили в ташкентском хокимияте. 

",2023-04-28 17:37:46,positive,no,23903.0,134.0,11.0,0.0,0.0,12.0,0.0,23.0,1.0,0.0,181.0
" Глобальные продажи электромобилей в прошлом году подскочили почти на 70 процентов до рекордного показателя в 7,8 миллиона единиц. При этом их доля в общем объеме годовых продаж автомобилей вплотную приблизилась к 10 процентам. По прогнозам экспертов, эти показатели будут только расти. Именно поэтому Узбекистан решил с",2023-04-28 17:26:40,positive,no,23033.0,106.0,44.0,0.0,0.0,3.0,0.0,2.0,3.0,0.0,158.0
" ""Рукоприкладство часто заканчивалось больницей или отправкой в родительский дом. Однажды я получила серьезное сотрясение, причину пришлось скрыть. Никто как будто бы ничего и не подозревал. Каждый раз, когда я оказывалась в доме родителей, мама отправляла меня домой, лишь бы семья сохранилась.

Женщина способна стойко",2023-04-28 16:46:52,negative,no,22557.0,57.0,8.0,0.0,0.0,7.0,166.0,0.0,3.0,2.0,243.0
" В соцсетях завирусился ролик о велосипедисте, который врезался в стоящий на обочине ""Спарк"". Узбекистанцы назвали главного героя видео идеальным образом для описания большинства водителей в нашей стране, которые с трудом отрываются от своих смартфонов во время езды. 

",2023-04-28 16:14:32,positive,no,22776.0,38.0,14.0,0.0,0.0,222.0,13.0,0.0,0.0,31.0,318.0
" Один из крупнейших российских производителей электротехнического оборудования – ""Торум"" – открывает производство в Узбекистане. 

",2023-04-28 15:22:58,positive,no,23680.0,335.0,37.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,375.0
" Казахский лоукостер FlyArystan с 3 июля запускает рейсы между Ташкентом и Астаной. 

",2023-04-28 14:46:19,positive,no,24222.0,112.0,22.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,137.0
" Ученицы двух школ в Самаркандской области устроили массовую драку.

",2023-04-28 14:40:14,negative,no,22610.0,10.0,46.0,0.0,0.0,76.0,12.0,16.0,0.0,274.0,434.0
"Assalom Jomiy – это один из первых эко-кварталов, представляющий собой сочетание современных технологий и экологически чистой жизни.

Старт продаж по выгодным ценам уже начался. Также ЖК предлагает специальные цены на первые 20 квартир.

Assalom Jomiy – это не только уютные и современные квартиры, но и инфраструктура, ",2023-04-28 14:30:05,negative,no,20191.0,19.0,46.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,70.0
" Певец заплатил мужчине за ротацию его песен на радио и ТВ. Позже выяснилось, что это мошенник. 

",2023-04-28 14:02:54,positive,no,22099.0,10.0,6.0,0.0,0.0,152.0,5.0,0.0,16.0,1.0,190.0
" В мероприятиях, проведенных под лозунгом «Конституция – наша!», приняли участие тысячи соотечественников.

Еще раз призываем вас принять участие в Референдуме по проекту Конституционного закона Республики Узбекистан, который состоится 30 апреля 2023 года!

 ""КОНСТИТУЦИЯ – МОЯ, ТВОЯ, НАША! КОНСТИТУЦИЯ ПРИНАДЛЕЖИТ НАМ!""",2023-04-28 13:56:42,positive,no,21687.0,211.0,127.0,0.0,3.0,9.0,0.0,0.0,5.0,0.0,355.0
" Стоимость реализуемых сегодня совместных российско-узбекских проектов превышает 2 миллиарда долларов, заявил в ходе седьмого заседания узбекско-российского и российско-узбекского деловых советов заместитель министра экономического развития России Дмитрий Вольвач.

",2023-04-28 12:42:10,positive,no,22947.0,272.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,319.0
" Узгидромет опубликовал прогноз погоды на предстоящие выходные. Узбекистанцев ждет солнечная и жаркая погода до 33 градусов. 

",2023-04-28 12:37:50,negative,no,22935.0,39.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0
" В Ташкенте в период с 27 апреля по 30 мая пройдут традиционные отключения холодной воды.

",2023-04-28 12:08:24,negative,no,28493.0,25.0,28.0,0.0,0.0,4.0,0.0,7.0,11.0,193.0,268.0
" Узбекистан подписал соглашения на строительство двух солнечных электростанций, а также объекта, который будет вырабатывать электричество из свалочного газа

",2023-04-28 11:01:04,positive,no,23454.0,127.0,32.0,0.0,3.0,4.0,0.0,0.0,19.0,1.0,186.0
" В Узбекистане с 1 мая вступит в силу ряд новых изменений в законодательстве. Среди них, например, появление скидок на штрафы, выдача ипотечных кредитов безработным, снижение стоимости продуктов для нуждающихся, увеличение размеров штрафов и зарплаты, а также МРОТ и БРВ.

",2023-04-28 10:44:14,negative,no,23872.0,34.0,102.0,0.0,0.0,46.0,0.0,0.0,0.0,7.0,189.0
" ГУВД попросило ташкентцев не оставлять свой автомобиль без присмотра на автомойках и в автосервисах, а также не передавать ключи от машины незнакомым людям. Это может привести к угону автомобиля. 

",2023-04-28 10:30:57,positive,no,23427.0,84.0,0.0,0.0,0.0,32.0,0.0,0.0,8.0,6.0,130.0
" ГЛАВНЫЕ НОВОСТИ УЗБЕКИСТАНА К УТРУ 28 АПРЕЛЯ:  

 Мирзиёев назвал пять основных направлений, по которым Узбекистан готов сотрудничать с иностранными инвесторами

 Трое узбекистанцев скончались в туалете, пытаясь достать телефон. Это уже не первый подобный случай в стране

 В Узбекистане вновь заговорили о запуске собс",2023-04-28 10:26:02,positive,no,23165.0,16.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
" Появились новые фото вчерашней массовой аварии в Ташкенте, в которой столкнулись 12 авто.  

",2023-04-28 09:48:21,negative,no,22153.0,44.0,8.0,0.0,0.0,16.0,99.0,6.0,3.0,10.0,186.0
" Стали известны подробности избиения школьницы в Ташкенте. Поводом для того, чтобы три подруги избили и унизили ученицу восьмого класса, стала переписка в соцсетях, которая произошла примерно месяц назад между потерпевшей и ""разборщицей""

",2023-04-28 09:39:42,negative,no,23216.0,14.0,33.0,0.0,0.0,12.0,7.0,0.0,0.0,290.0,356.0
" Оперативники Службы государственной безопасности (СГБ) задержали в Ташкентской области лидера преступной группировки по кличке ""Император""

",2023-04-28 08:59:24,positive,no,24166.0,102.0,7.0,0.0,1.0,57.0,2.0,225.0,0.0,0.0,394.0
" В Ташкенте к вечеру возможен кратковременный дождь, гроза. Ветер 3-8 м/с. Температура 28-30°. сообщили в Узгидромете. 

",2023-04-28 08:31:28,positive,no,24745.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
" Власти придумали хитрый ход, как снизить себестоимость производимого мяса и муки

 В Ташкенте произошло массовое ДТП с участием 12 авто

 В Узбекистане снова заговорили о запуске собственного спутника

 А также маленькое счастье

Читайте об этом и многом другом в обзоре главных событий в Узбекистане на 27 апреля.",2023-04-27 23:26:42,positive,no,25216.0,22.0,27.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,61.0
" Трое узбекистанцев скончались в туалете, пытаясь достать телефон. Это уже не первый подобный случай в стране

",2023-04-27 22:54:09,negative,no,26292.0,20.0,11.0,0.0,0.0,52.0,140.0,8.0,179.0,26.0,436.0
" Нурхон Курбонова, пара-легкоатлетка:

— Посмотрите вокруг – весь мир меняется. Перемены всегда ведут к победам. Мы все заслуживаем перемен.",2023-04-27 21:56:59,positive,no,24139.0,258.0,57.0,0.0,0.0,2.0,1.0,0.0,7.0,0.0,325.0
" В Узбекистане вновь заговорили о запуске собственного спутника. На этот раз амбиции стали скромнее – речь идет о Кубсате. Это небольшой космический аппарат или наноспутник

",2023-04-27 21:04:42,positive,no,25617.0,65.0,10.0,0.0,0.0,281.0,0.0,0.0,17.0,9.0,382.0
" В Ташкенте произошло массовое ДТП, столкнулись четыре грузовика и восемь легковушек

",2023-04-27 20:34:24,negative,no,24553.0,27.0,84.0,0.0,4.0,27.0,71.0,0.0,17.0,9.0,239.0
" Власти Узбекистана придумали, как сделать дешевле мясо и муку. Узбекские компании будут выращивать крупный рогатый скот и зерно в Казахстане, а затем завозить их в нашу страну

",2023-04-27 19:54:17,positive,no,26381.0,74.0,36.0,0.0,0.0,266.0,0.0,0.0,302.0,16.0,694.0
" ГЛАВНЫЕ НОВОСТИ УЗБЕКИСТАНА К ВЕЧЕРУ 27 АПРЕЛЯ:  

 На борту Uzbekistan Airways родился ребенок

 Эмиратская ADSS построит современную станцию для сбора и очистки сточных вод Ташкента

 Железнодорожники запускают дополнительные скоростные поезда на маршрутах между Ташкентом, Самаркандом и Карши

 Компании, где работаю",2023-04-27 18:01:46,positive,no,24625.0,31.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,43.0
" Шавкат Мирзиёев назвал пять основных направлений, по которым Узбекистан готов сотрудничать с иностранными инвесторами.

",2023-04-27 16:23:24,positive,no,25487.0,241.0,89.0,0.0,0.0,20.0,0.0,0.0,15.0,0.0,365.0
" В Ташкенте ""Дамас"" вылетел в канал. Чтобы его вытащить, пришлось вызывать спасателей. 

",2023-04-27 16:04:31,positive,no,25163.0,64.0,8.0,0.0,3.0,38.0,10.0,5.0,26.0,17.0,171.0
" В Ташкенте молодой парень на Lacetti сбил учащуюся прямо возле здания школы. 

",2023-04-27 15:16:12,negative,no,24878.0,21.0,11.0,0.0,0.0,7.0,23.0,3.0,2.0,493.0,560.0
" Шавкат Мирзиёев своим указом продлил до конца 2024 года действие льготы по возвращению социального налога предприятиям и компаниям, где работают молодые сотрудники.

",2023-04-27 10:19:17,positive,no,25959.0,126.0,28.0,0.0,0.0,6.0,0.0,0.0,13.0,5.0,178.0
" Железнодорожники запускают дополнительные скоростные поезда на маршрутах между Ташкентом, Самаркандом и Карши. Важно, что билеты на дополнительные поезда выставлены в свободную продажу в обход заявок туристических компаний, чтобы их могли приобрести обычные пассажиры. 

",2023-04-27 09:50:44,positive,no,25849.0,249.0,14.0,0.0,2.0,19.0,0.0,1.0,2.0,0.0,287.0
" В Узбекистан был доставлен скрывавшийся в Польше мошенник. Он обманул десятки людей, обещая им работу в Южной Корее

",2023-04-27 09:24:28,positive,no,24412.0,276.0,3.0,0.0,0.0,25.0,5.0,6.0,0.0,0.0,315.0
" ГЛАВНЫЕ НОВОСТИ УЗБЕКИСТАНА К УТРУ 27 АПРЕЛЯ:  

 Известный узбекский блогер снял видео, в котором демонстрируются сцены насилия над женщинами. Активистки просят правоохранителей принять меры

 В Ташкенте открылась мастерская узбекистанского дизайнера, покорившего Vogue и вошедшего в список Forbes

 В Андижане муж пац",2023-04-27 09:01:59,positive,no,23833.0,44.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,52.0
" Эмиратская компания Abu Dhabi Sewerage Services Company (ADSS) построит современную станцию для сбора и очистки сточных вод Ташкента

",2023-04-27 08:52:57,positive,no,23397.0,316.0,16.0,0.0,2.0,12.0,1.0,0.0,40.0,0.0,387.0
" На борту Uzbekistan Airways, который летел из Ташкента в Стамбул, 26 апреля родился ребенок

",2023-04-27 08:38:03,positive,no,23860.0,125.0,15.0,0.0,9.0,16.0,0.0,36.0,2.0,6.0,209.0
"В Ташкенте сегодня без осадков. Ветер 5-10 м/с. Температура 28-30°, сообщили в Узгидромете.

",2023-04-27 08:28:54,positive,no,23494.0,28.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
" В Кашкадарьинской области состоялось торжественное мероприятие под лозунгом «Конституция – наша!»

 «В Конституции определяется, что совершеннолетние трудоспособные дети обязаны заботиться о своих родителях – это мне очень понравилось»

 «Изменения вносятся ради достоинства и интересов человека»

 «Мы проголосуем за н",2023-04-26 23:28:30,positive,no,23942.0,502.0,221.0,0.0,8.0,22.0,0.0,0.0,0.0,4.0,757.0
" Эксперт рассказал, почему Ферганская долина может стать детонатором взрыва в регионе

 Цифровая наклейка, позволяющая без проблем определять контрафактные и некачественные товары

 ""Автоваз"", вознамерившийся завалить узбекистанцев дешевыми авто

 А также бедные дети

Читайте об этом и многом другом в обзоре главных со",2023-04-26 23:25:00,positive,no,23907.0,34.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,46.0
" Новая модная локация появилась в Ташкенте – речь о мастерской дизайнера Жени Ким, открывшейся 23 апреля. На презентации мастерской собралось порядка 100 гостей, в их числе – знаменитые узбекистанские артисты, предприниматели, деятели искусства, а также коллеги Жени Ким – дизайнеры, включая российских и грузинских моде",2023-04-26 22:45:08,positive,no,24182.0,178.0,37.0,0.0,0.0,19.0,0.0,0.0,7.0,0.0,241.0
