text,date,sentiment,promotional
" GBS xodimlari""imperator"" laqabli jinoiy hokimiyatni qo'lga olishdi

  Buxoro viloyatida ideal haydovchining surati topildi

  Samarqand viloyatida ommaviy janjal uyushtirgan maktab o'quvchilari

  Va katta pul

28 aprel kuni O'zbekistondagi asosiy voqealar sharhida bu va boshqa ko'p narsalar haqida o'qing.",2023-04-28 22:34:29,positive,no
" Poytaxtda xalqaro investitsiya forumi doirasida yirik shaharlardagi qulaylik, shuningdek, urbanizatsiya va shaharsozlik investitsiyalariga bag'ishlangan munozara bo'lib o'tdi. Xalqaro ekspertlar Toshkent misolida rasmiylarga qayerga borish kerakligini tushuntirishga harakat qilishdi. Hokimlik o ' zbekiston Respublikasi Vazirlar Mahkamasining",2023-04-28 22:26:52,positive,no
" O'zbekistonlik 44 nafar ayol IShID bilan hamkorlik qilgani uchun Iroqda uzoq muddatga hukm qilindi. Boshqa kuni ijtimoiy tarmoqlarda o'zbekistonlik ayollarning videomurojaati tarqaldi, ular o'zlari joylashgan Rosafa qamoqxonasida g'ayriinsoniy sharoitlar haqida xabar berishdi va O'zbekiston prezidentidan o'z vatanlariga qaytishlariga yordam berishlarini so'rashdi

",2023-04-28 22:00:31,negative,no
" Samarqand viloyatida "" Konstitutsiya bizniki!»

""Ilgari, agar davlat va fuqaro o'rtasidagi munosabatlarda ziddiyat yuzaga kelgan bo'lsa, davlat ustunlikka ega edi. Endi yangilanadigan Konstitutsiyaga ko'ra, insonning qadr-qimmati va manfaatlari eng yuqori o'rinni egallaydi"", deydi m",2023-04-28 20:59:07,positive,no
" Toshkent hayvonot bog'ida taqlidni to'ldirish-tuya dromedari va chaqaloq poni tug'ildi

",2023-04-28 19:50:38,positive,no
" Shu hafta O'zbekistonda mamlakat uchun muhim voqea – Konstitutsiyaga o'zgartirishlar kiritish bo'yicha referendum bo'lib o'tadi. Qonunchilik palatasi raisining birinchi o'rinbosari Oliyjlis Akmal Saidov O'zbekiston uchun bo'lajak o'zgarishlar nimani anglatishini ma'lum qildi.

",2023-04-28 19:30:02,negative,no
" 28 APREL OQSHOMIDA O'ZBEKISTONNING ASOSIY YANGILIKLARI:  

 Toshkent viloyatida""imperator"" laqabli jinoiy guruhning bir necha bor sudlangan rahbari hibsga olingan

 Toshkentda sovuq suvning an'anaviy uzilishi boshlandi. Tumanlar bo'yicha jadval

 Yulduz hayratda. Xonanda radio va televidenieda qo'shiqlarini aylantirish uchun erkakka pul to'lagan. Keyinchalik",2023-04-28 19:12:16,positive,no
" ""Ta'mirlash va profilaktika ishlari aholiga noqulaylik tug'dirmaslik uchun faqat haftaning ish kunlarida amalga oshiriladi. Juma, shanba va yakshanba kunlari poytaxtning biron bir tumanida ichimlik suvi ta'minoti to'xtamaydi"", - deya qo'shimcha qildi Toshkent hokimligi. 

",2023-04-28 17:37:46,positive,no
" O'tgan yili elektr transport vositalarining global savdosi deyarli 70 foizga oshib, rekord darajadagi 7,8 million donani tashkil etdi. Shu bilan birga, ularning yillik avtomobil sotuvlarining umumiy hajmidagi ulushi 10 foizga yaqinlashdi. Mutaxassislarning fikriga ko'ra, bu ko'rsatkichlar faqat o'sib boradi. Shuning uchun O'zbekiston",2023-04-28 17:26:40,positive,no
" ""Hujum ko'pincha kasalxona yoki ota-onaning uyiga jo'natish bilan tugaydi. Bir marta jiddiy silkinish yuz berdi, sababini yashirish kerak edi. Hech kim hech narsadan shubhalanmaganga o'xshaydi. Har safar ota-onamning uyida bo'lganimda, onam meni uyga jo'natardi, agar oila omon qolsa.

Ayol qat'iyat bilan qodir",2023-04-28 16:46:52,negative,no
" Ijtimoiy tarmoqlarda velosipedchining yo'l chetida turgan ""Spark""ga urilgani haqidagi video paydo bo'ldi. O'zbekistonliklar videoning bosh qahramonini mamlakatimizdagi haydash paytida o'z smartfonlaridan zo'rg'a chiqib ketayotgan haydovchilarning aksariyatini tasvirlash uchun eng zo'r yo'l deb atashdi. 

",2023-04-28 16:14:32,positive,no
" Rossiyaning eng yirik elektrotexnika uskunalarini ishlab chiqaruvchilardan biri – ""Torum"" O'zbekistonda ishlab chiqarishni ochmoqda. 

",2023-04-28 15:22:58,positive,no
" Qozog'istonning FlyArystan arzon aviakompaniyasi 3 iyuldan Toshkent va Ostona o'rtasida parvozlarni amalga oshirmoqda. 

",2023-04-28 14:46:19,positive,no
" Samarqand viloyatidagi ikki maktab o'quvchilari ommaviy janjal uyushtirishdi.

",2023-04-28 14:40:14,negative,no
"Assalom Jomiy-bu zamonaviy texnologiyalar va ekologik toza hayotning aralashmasi bo'lgan birinchi ekologik mahallalardan biri.

Savdolarning arzon narxlarda boshlanishi allaqachon boshlangan. Shuningdek, LCD dastlabki 20 ta kvartira uchun maxsus narxlarni taklif etadi.

Assalom Jomiy nafaqat qulay va zamonaviy kvartiralar, balki infratuzilma hamdir, ",2023-04-28 14:30:05,negative,no
" Xonanda radio va televidenieda qo'shiqlarini aylantirish uchun erkakka pul to'lagan. Keyinchalik bu firibgar ekanligi aniqlandi. 

",2023-04-28 14:02:54,positive,no
" ""Konstitutsiya bizniki!"" shiori ostida o'tkazilgan tadbirlarda, minglab vatandoshlar ishtirok etdi.

Sizni yana bir bor 2023-yil 30-aprelda bo'lib o'tadigan O'zbekiston Respublikasi Konstitutsiyaviy qonuni loyihasi bo'yicha referendumda ishtirok etishga chaqiramiz!

 ""KONSTITUTSIYA MENIKI, SIZNIKI, BIZNIKI! KONSTITUTSIYA BIZGA TEGISHLI!""",2023-04-28 13:56:42,positive,no
" Bugun amalga oshirilayotgan Rossiya-O'zbekiston qo'shma loyihalarining qiymati 2 milliard dollardan oshdi, dedi Rossiya iqtisodiy rivojlanish vazirining o'rinbosari Dmitriy Volvach O'zbekiston-Rossiya va Rossiya-O'zbekiston biznes Kengashlarining ettinchi yig'ilishida.

",2023-04-28 12:42:10,positive,no
" O'zgidromet kelgusi dam olish kunlari uchun ob-havo ma'lumotlarini e'lon qildi. O'zbekistonliklarni 33 darajagacha quyoshli va issiq ob-havo kutmoqda. 

",2023-04-28 12:37:50,negative,no
" Toshkentda 27 apreldan 30 maygacha bo'lgan davrda sovuq suvning an'anaviy uzilishi bo'lib o'tadi.

",2023-04-28 12:08:24,negative,no
" O'zbekiston ikkita quyosh elektr stansiyasini, shuningdek, chiqindi gazidan elektr energiyasi ishlab chiqaradigan obyektni qurish bo'yicha shartnomalar imzoladi

",2023-04-28 11:01:04,positive,no
" O'zbekistonda 1-maydan boshlab qonunchilikka bir qator yangi o'zgarishlar kuchga kiradi. Ular orasida, masalan, jarimalarga chegirmalar paydo bo'lishi, ishsizlarga ipoteka kreditlari berish, muhtojlarga mahsulotlar narxining pasayishi, jarimalar va ish haqining ko'payishi, shuningdek eng kam ish haqi va BRV.

",2023-04-28 10:44:14,negative,no
" IIBB toshkentliklardan o'z avtomobillarini avtomobil yuvish va avtomobil xizmatlarida qarovsiz qoldirmaslikni, shuningdek, avtomobil kalitlarini notanish odamlarga bermaslikni so'radi. Bu avtomobilni O'g'irlashga olib kelishi mumkin. 

",2023-04-28 10:30:57,positive,no
" 28 APREL KUNI ERTALAB O'ZBEKISTONNING ASOSIY YANGILIKLARI:  

 Mirziyoyev O'zbekiston xorijiy investorlar bilan hamkorlik qilishga tayyor bo'lgan beshta asosiy yo'nalishni aytib o'tdi

 Uch nafar o'zbekistonlik telefonni olish uchun hojatxonada vafot etdi. Bu mamlakatda bunday birinchi holat emas

 O'zbekistonda ular yana sobsni ishga tushirish haqida gapira boshladilar",2023-04-28 10:26:02,positive,no
" Kecha Toshkentda 12 ta mashina to'qnashgan ommaviy avariyaning yangi fotosuratlari paydo bo'ldi.  

",2023-04-28 09:48:21,negative,no
" Toshkentda maktab o'quvchisini kaltaklash tafsilotlari ma'lum bo'ldi. Uch do'stning sakkizinchi sinf o'quvchisini kaltaklashi va kamsitishi uchun sabab, taxminan bir oy oldin jabrlanuvchi va ""tahlilchi""o'rtasida sodir bo'lgan ijtimoiy tarmoqlardagi yozishmalar edi.

",2023-04-28 09:39:42,negative,no
" Davlat xavfsizlik xizmati (GBS) xodimlari Toshkent viloyatida ""imperator""laqabli jinoiy guruh rahbarini hibsga olishdi

",2023-04-28 08:59:24,positive,no
" Toshkentda kechga qadar qisqa muddatli yomg'ir, momaqaldiroq bo'lishi mumkin. Shamol 38 m / s.harorat 2830°. O'zgidrometda xabar berilgan. 

",2023-04-28 08:31:28,positive,no
" Rasmiylar ishlab chiqarilgan go'sht va un narxini qanday kamaytirish bo'yicha hiyla-nayrangni o'ylab topishdi

 Toshkentda 12 ta avtomobil ishtirokida ommaviy baxtsiz hodisa yuz berdi

 O'zbekistonda yana o'z sun'iy yo'ldoshini ishga tushirish haqida gap ketmoqda

 Va kichik baxt

27 aprel kuni O'zbekistondagi asosiy voqealar sharhida bu va boshqa ko'p narsalar haqida o'qing.",2023-04-27 23:26:42,positive,no
" Uch nafar o'zbekistonlik telefonni olish uchun hojatxonada vafot etdi. Bu mamlakatda bunday birinchi holat emas

",2023-04-27 22:54:09,negative,no
" Nurxon Qurbonova, yengil atletikachi juftlik:

- Atrofga qarang-butun dunyo o'zgarmoqda. O'zgarishlar har doim g'alabalarga olib keladi. Biz hammamiz o'zgarishga loyiqmiz.",2023-04-27 21:56:59,positive,no
" O'zbekistonda yana o'z sun'iy yo'ldoshini ishga tushirish haqida gap boshlandi. Bu safar ambitsiyalar yanada kamtar bo'ldi-biz kubsat haqida gapiramiz. Bu kichik kosmik kema yoki nanosatellit

",2023-04-27 21:04:42,positive,no
" Toshkentda katta baxtsiz hodisa yuz berdi, to'rtta yuk mashinasi va sakkizta yengil avtomobil to'qnashdi

",2023-04-27 20:34:24,negative,no
" O'zbekiston hukumati go'sht va unni qanday qilib arzonroq qilish kerakligini aniqladi. O'zbek kompaniyalari Qozog'istonda qoramol va don yetishtirib, keyin ularni mamlakatimizga olib keladi

",2023-04-27 19:54:17,positive,no
" 27 APREL OQSHOMIDA O'ZBEKISTONNING ASOSIY YANGILIKLARI:  

 Uzbekistan Airways bortida bola tug'ildi

 Amirlik ADSS Toshkent oqova suvlarini yig'ish va tozalash uchun zamonaviy stansiya quradi

 Temir yo 'lchilar Toshkent, Samarqand va qarshi yo 'nalishlarida qo' shimcha tezkor poyezdlarni ishga tushiradilar

 Men ishlaydigan kompaniyalar",2023-04-27 18:01:46,positive,no
" Shavkat Mirziyoyev O'zbekiston xorijiy investorlar bilan hamkorlik qilishga tayyor bo'lgan beshta asosiy yo'nalishni aytib o'tdi.

",2023-04-27 16:23:24,positive,no
" Toshkentda Damas kanalga uchib ketdi. Uni olib chiqish uchun qutqaruvchilarni chaqirish kerak edi. 

",2023-04-27 16:04:31,positive,no
" Toshkentda Lacetti-dagi yosh yigit o'quvchini maktab binosi oldida urib yubordi. 

",2023-04-27 15:16:12,negative,no
" Shavkat Mirziyoyev o'z farmoni bilan 2024-yil oxirigacha yosh xodimlar faoliyat yuritayotgan korxona va kompaniyalarga ijtimoiy soliqni qaytarish bo'yicha imtiyozni uzaytirdi.

",2023-04-27 10:19:17,positive,no
" Temir yo'lchilar Toshkent, Samarqand va qarshi o'rtasidagi yo'nalishlarda qo'shimcha tezkor poyezdlarni ishga tushiradilar. Oddiy yo'lovchilar sotib olishlari uchun sayyohlik kompaniyalari buyurtmalarini chetlab o'tib, qo'shimcha poezd chiptalari bepul sotuvga qo'yilishi muhimdir. 

",2023-04-27 09:50:44,positive,no
" Polshada yashiringan firibgar O'zbekistonga olib kelindi. U o'nlab odamlarni aldab, ularga Janubiy Koreyada ishlashni va'da qildi

",2023-04-27 09:24:28,positive,no
" 27 APREL KUNI ERTALAB O'ZBEKISTONNING ASOSIY YANGILIKLARI:  

 Mashhur o'zbek bloggeri ayollarga nisbatan zo'ravonlik sahnalari aks etgan videoni suratga oldi. Faollar huquqni muhofaza qilish organlaridan chora ko'rishni so'rashadi

 Toshkentda Vogue-ni zabt etgan va Forbes ro'yxatiga kiritilgan o'zbekistonlik dizaynerning ustaxonasi ochildi

 Andijonda o'g'il bolalarning eri",2023-04-27 09:01:59,positive,no
" Abu Dabi Sewerage Services Company (ADSS) amirlik kompaniyasi Toshkent oqava suvlarini yig'ish va tozalash uchun zamonaviy stansiya quradi

",2023-04-27 08:52:57,positive,no
" Toshkentdan Istanbulga uchayotgan Uzbekistan Airways bortida 26 aprel kuni bola tug'ildi

",2023-04-27 08:38:03,positive,no
"Toshkentda bugun yomg'ir yog'maydi. Shamol 5-10 m / s. harorat 28-30°, deb xabar beradi O'zgidromet.

",2023-04-27 08:28:54,positive,no
" Qashqadaryo viloyatida "" Konstitutsiya bizniki!»

 ""Konstitutsiya shuni ko'rsatadiki, mehnatga layoqatli yoshdagi bolalar ota – onalariga g'amxo'rlik qilishlari shart-bu menga juda yoqdi""

 ""O'zgarishlar insonning qadr-qimmati va manfaatlari uchun amalga oshiriladi""

 ""Biz ovoz beramiz",2023-04-26 23:28:30,positive,no
" Mutaxassis nima uchun Farg'ona vodiysi mintaqada portlashning detonatori bo'lishi mumkinligini aytdi

 Soxta va sifatsiz mahsulotlarni osongina aniqlash imkonini beruvchi raqamli stiker

 O'zbekistonliklarni arzon avtomobillar bilan to'ldirmoqchi bo'lgan AvtoVAZ

 Va kambag'al bolalar

Bu haqda va bo hqa ko'p nar alar haqida",2023-04-26 23:25:00,positive,no
" Toshkentda yangi moda joylashuvi paydo bo'ldi – bu dizayner zhenya kimning 23 aprel kuni ochilgan ustaxonasi haqida. Seminarning taqdimotida 100 ga yaqin mehmonlar, shu jumladan taniqli o'zbekistonlik rassomlar, tadbirkorlar, san'at arboblari, shuningdek, zhenya kimning hamkasblari – dizaynerlar, shu jumladan rus va gruzin modalari yig'ildi",2023-04-26 22:45:08,positive,no
" Ulug'bek Rashitov, taekvondo bo'yicha ""Tokio-2020"" Olimpiadasining oltin medali sohibi:

- Hayotingizda ko'rishni istagan o'zgarishlarga aylaning. Hech kim siz uchun tanlov qilmaydi. Sizda eng yaxshi murabbiy va jamoa bo'lishi mumkin. Ammo oxir-oqibat, siz o'zingiz qaror qabul qilishingiz kerak. Yashash o'zgarishni anglatadi. O'zgartirish",2023-04-26 22:23:27,positive,no
" Rossiyaning ""AvtoVAZ"" kompaniyasi O'zbekistonda yangi avlod Lada Vesta avtomobillarini ishlab chiqarishni tashkil etishga va yiliga 15 mingta avtomobil ishlab chiqarishga tayyor. Biroq, kompaniyaning maqsadi yiliga 30 ming Lada avtomobilini ishlab chiqarish va O'zbekiston bozorining 10 foizini egallashdir. Bu haqda ""AvtoVAZ""prezidenti jurnalistlarga ma'lum qildi",2023-04-26 20:45:03,positive,no
" Namangan viloyatida bir kishi talabani ta'qib qildi. U uni telefon orqali chaqirdi, haqorat qildi va hatto onasini o'ldirish bilan tahdid qildi

",2023-04-26 20:16:41,negative,no
" Mashhur o'zbek bloggeri Doniyor Qayumov ayollarga nisbatan zo'ravonlik sahnalari aks etgan videoni suratga oldi. Zo'ravonlikka qarshi loyiha faollari NeMolchi.uz huquqni muhofaza qilish organlaridan chora ko'rishni so'rash

",2023-04-26 19:45:12,negative,no
" Andijon viloyatida bemorning eri va uning uchta do'sti shifokorni kaltaklashdi. Ular shifokorning bemorni tekshirish va davolash usulini yoqtirmadilar

",2023-04-26 18:40:51,negative,no
" Yekaterinburgda XIII Yevroosiyo yoshlar iqtisodiy forumi (EEFM) o'tkaziladi. Uning asosiy mavzusi ""ko'p qutbli dunyo yangi voqelik markazida"".

",2023-04-26 18:12:30,positive,no
" Markaziy Osiyo va Rossiya mamlakatlarining yetakchi ekspertlari Farg'ona vodiysining kelajagini mintaqadagi vaziyatni beqarorlashtirish kontekstida muhokama qildilar. Muhokamada ishtirok etgan Ma'no tadqiqot tashabbuslari markazi direktori Baxtiyor Ergashevning so'zlariga ko'ra, Farg'ona vodiysi bugungi kunda juda jiddiy salohiyatga ega",2023-04-26 16:16:16,negative,no
" Toshkentda mast odam xotini bilan janjallashib, o'zini spirtli ichimlik bilan to'ldirib, o't qo'ydi.

",2023-04-26 15:44:28,positive,no
" O'zbekistonda 2021-yilda ishga tushirilgan majburiy markalash tizimi raqamli identifikatsiya qilinadigan tovarlar ro'yxatini kengaytirishda davom etmoqda. Tamaki mahsulotlari, alkogol mahsulotlari, maishiy texnika va farmatsevtika mahsulotlari endi rasmiy ravishda datamatrix kodlarisiz bozorga chiqmaydi. Navbatda-mi",2023-04-26 14:43:06,positive,no
