date,text,sentiment,promotional
2023-04-17 16:59:06,Watches and Wonders dunyosining asosiy soat saloni kunlarida jurnalist Aleksey Tarxanov Bulgari soat kollektsiyalarini yaratish to'g'risida material tayyorladi va yangi modellar (reklama huquqi asosida) haqida gapirdi.,positive,yes
2023-04-17 16:50:00,Namanganning Davlatobod tumanida ohak ishlab chiqarish korxonasi 4 milliard so'mdan ortiq gazdan noqonuniy foydalangan.,negative,no
2023-04-17 16:39:29,"O'zbekiston Markaziy saylov komissiyasi ovoz berish jarayonini videotasvirga olishni tashkil etish, 19-26 aprel kunlari muddatidan oldin ovoz berish, saylovchilarni aniqlash, jamoat tartibini ta'minlash va nogiron fuqarolar uchun qulayliklar yaratish masalalarini muhokama qildi.",negative,no
2023-04-17 16:12:27,O'zbekiston Markaziy banki tomonidan 18 apreldan boshlab belgilangan valyuta kurslari.,positive,no
2023-04-17 15:44:30,"Shanbadan yakshanbaga o'tar kechasi Toshkent pravoslavlari nasroniylarning asosiy bayrami — Pasxani nishonladilar. Bu yil ertalab soat 3:40 da Quddusdan Toshkentga muborak olov keldi. To'rt soatlik kechikishga qaramay, imonlilar ziyoratgohni kutishdi va undan sham yoqishdi. ""Газета.uz"" reportaj tayyorladi.",positive,no
2023-04-17 15:13:38,Toshkentdagi mudofaa ishlari bo'yicha tuman boshqarmalaridan birining boshlig'i 600 dollar olganida hibsga olingan. U harbiy chiptani olishda yordam berishga va'da berdi.,negative,no
2023-04-17 15:03:59,"NRG-dan qulay to'lov

NRG Uzbekistan birinchi marta kvartirani eng sodiq shartlarda sotib olish imkoniyatini taqdim etmoqda.

LCD NRG Jomiy hayot sifatini yaxshilash uchun eng maqbul imkoniyatdir.

Shartlar:

- dastlabki to'lov-30 dan%;
- 18% gacha chegirmalar.

Ko'p afzalliklarga ega bo'lgan yuqori sifatli uyning egasi bo'lish imkoniyatini boy bermang.

Ta'minot cheklangan.

Tafsilotlar telefon orqali: 1060.

Telegram | Instagram
Youtube

Reklama huquqi bilan.",negative,yes
2023-04-17 14:43:30,"O'zbekiston gimnastikachilari Toshkentda badiiy gimnastika bo'yicha jahon Kubogi bosqichida bitta kumush va uchta bronza medalni qo'lga kiritdi. Musobaqaning yakuniy kuniga Saida Mirziyoyeva, Alina Kabayeva va boshqa mehmonlar tashrif buyurishdi.",positive,no
2023-04-17 14:33:22,"O'zbekistonda Open Budget portalidagi tashabbus byudjeti doirasida ""mening yo'lim"" dasturi boshlandi. Fuqarolar o'z mahallalarida yo'llarni ta'mirlash va qurish bo'yicha loyihalarni taklif qilib, 312 milliard so'm ajratishda ishtirok etishlari mumkin. Takliflar to'plami 26 aprelgacha davom etadi.",negative,no
2023-04-17 13:31:11,"Toshkent shahar hokimi I. O. Shavkat Umurzakov ushbu lavozimga tayinlanganidan beri bir oydan kam vaqt oldin 35 ta qarorni imzolagan, ammo ularning deyarli yarmi jamoatchilikdan yashiringan. Qabul qilingan 14 ta buyruqdan 4 tasi ham mavjud emas.",negative,no
2023-04-17 11:40:02,"Chorshanba kuni antitsiklon O'zbekiston hududidan chekinishni boshlaydi va ish haftasi oxirigacha quruq ob-havo o'rnatiladi. Havo harorati asta — sekin ko'tariladi va juma kuni kechasi +4...+9 daraja, kunduzi - +20...+25 oralig'ida bo'ladi.",positive,no
2023-04-17 10:29:11,Farg'ona viloyatida 8 oylik qizini 10 ming dollarga sotmoqchi bo'lgan ayol hibsga olingan. U olgan pullari bilan kvartira sotib olmoqchi edi.,negative,no
2023-04-17 09:42:08,"Dam olish kunlari Germaniyada qolgan uchta AES elektr tarmog'idan uzildi. Buni 2022 yilda amalga oshirish rejalashtirilgan edi, ammo Rossiyadan gaz etkazib berishning qisqarishi tufayli muddat qoldirildi. Uchta AES mamlakatda ishlab chiqarilgan elektr energiyasining atigi 6 foizini tashkil etdi.",positive,no
2023-04-17 09:13:15,"19 aprel kuni Toshkentdagi metro halqa liniyasining 7-stansiyasi (""Kuyluk"") beshta yangi stansiya o'rtasida poyezdlar harakati sinovdan o'tkazilishi munosabati bilan yopiladi.",positive,no
2023-04-17 08:34:03,Toshkentdagi 43-yo'nalishdagi avtobus salonida (Isuzu) salonda ayollar va erkaklar zonalari mavjudligi haqida e'lonlar paydo bo'ldi. Toshshahartransxizmat e'lonlarni olib tashlashni e'lon qildi va ayollar va erkaklarning tengligini eslatdi.,negative,no
2023-04-16 15:07:13,"Nyu-yorklik muralist rassom Lens Jonson Toshkentda ikki hafta o'tkazdi va yosh toshkentlik hamkasblari bilan noyob mavhum asarlar yaratdi. Bu uning CEC ArtsLinks dasturi va Ilhom teatridagi ishtiroki tufayli mumkin bo'ldi. 

Biz rassom bilan uchrashdik va uning graffitiga bo'lgan muhabbati, ushbu san'at turining ijtimoiy ahamiyati va tashrifi natijasida bo'lib o'tgan ""dialoglar"" ko'rgazmasi haqida suhbatlashdik. Jonson bizga asarlarni qanday yaratishini ham ko'rsatdi.

Ingliz tilidagi intervyuga havola orqali qarang:",positive,no
2023-04-15 19:20:48,"Tahlilchi Karen Srapionovning fikricha, banklarning minimal kapitalining o'sishi bozorni birlashtirish istagi bilan bog'liq bo'lishi mumkin va bank tizimining manfaatlariga mos kelmaydi. U o'z ustunida qonun loyihasini qayta ko'rib chiqish mumkinligiga umid bildiradi.",positive,no
2023-04-15 17:58:14,"O'zbekiston energetika vazirligi rahbari Jurabek Mirzamahmudov va Rossiya hukumati rahbarining o'rinbosari Aleksandr Novak O'zbekistonga neft va neft mahsulotlari yetkazib berishni ko'paytirish imkoniyatlarini, shuningdek, ""Rosatom"" kompaniyasining yangi atom energetikasi obyektlarini qurishda ishtirok etish istiqbollarini muhokama qildilar.",positive,no
2023-04-15 17:10:00,"17-21 aprel kunlari Toshkent va respublika viloyatlarida xalqaro tasviriy va amaliy san'at festivali bo'lib o'tadi. Dasturda O'zbekiston va xorijiy mamlakatlar rassomlarining ko'rgazmalari, rasm va amaliy san'at bo'yicha mahorat darslari, tarixiy liboslar va zamonaviy kiyimlar namoyish etildi.",positive,no
2023-04-15 16:53:58,"""Siz biroz beparvo bo'lishingiz kerak."" Sirk ijrochilari - ularning ishlari haqida

Har yili aprel oyining uchinchi shanba kuni Butunjahon sirk kuni nishonlanadi. Rassomlar o'zlarining chiqishlarida har doim jamiyatning hozirgi hayotini aks ettirgan, shuning uchun ular tomoshabinlar tomonidan sevilgan. Muhim sana sharafiga ""Газета.uz"" men davlat sirk san'atkorlari bilan kasb va uning hayotidagi ahamiyati haqida suhbatlashdim.",positive,no
2023-04-15 14:33:46,"O'zbekiston korrupsiyaga qarshi kurashish agentligi veb-saytida agentlik rahbari Akmal Burxanov olgan sovg'alar ro'yxatini e'lon qildi. Sakkizta suvenir va devor rasmlarining umumiy qiymati 14,57 mln so'mga baholandi.",positive,no
2023-04-15 12:40:41,"""O' zgidromet "" va ""Zaminn"" jamg 'armasi qo' shma loyiha doirasida Jizzax va Guliston shaharlarida ikkita yangi avtomatik havo monitoringi stansiyasini o ' rnatdilar. Shuningdek, stantsiyalar Urganch, Nukus, Samarqand, Termiz va boshqa shaharlarda o'rnatiladi. Toshkentda ikkita stansiya faoliyat ko'rsatmoqda.",positive,no
2023-04-15 10:15:02,"Shakarlangan mevalar va muzli klassik Pasxa keki, tvorogli pirojnoe, kutilmagan Pasxa pishiriqlari, quritilgan mevalar bilan boy rulolar va Pasxa choy partiyasi uchun boshqa pishirish retseptlari-tanlovda Zira.uz.",positive,no
2023-04-15 09:00:08,"Locas Tour Dubayga sayohatni taklif etadi-bu noyob atmosferadan bahramand bo'lish va dengiz va cho'lning barcha go'zalligini ko'rish uchun shahar.

Shartlar:

- sana - 5 dan 12 maygacha (7 kecha);
- narxi-ikki kishilik turar joy bilan bir kishiga 5 855 000 so'mdan.

Narxga quyidagilar kiradi:

- Wizz Air - da havo sayohati;
- uch yulduzli Hotel ibis Dubai Al Barsha mehmonxonasida qolish;
- nonushta asosida ovqatlanish;
- transfer.

Viza va sug'urta alohida to'lanadi.

Gazetauz promo-kodi 30 dollarlik chegirmaga ega.

Telefon: (+998) 78-777-73-77.
Telegram: t.me/LocasTourbot

Reklama.",positive,no
2023-04-14 21:15:01,"Yetti kino premyerasi, Toshkent sirkidagi ochiq eshiklar kuni, ""Sharq bozori"" yarmarkasi, Sakura Run yugurishi, konsertlar, ko'rgazmalar, ijodiy mahorat darslari, partiyalar, spektakllar, bolalar uchun tadbirlar va kelgusi dam olish kunlaridagi boshqa tadbirlar — tanlovda",positive,no
2023-04-14 20:50:26,Qozog'iston va Xitoy hukumatlari o'z fuqarolari uchun vizasiz rejimni har ikki yo'nalishda ham joriy etishni rejalashtirmoqda. Vizasiz qolish muddati chegarani kesib o'tgan kundan boshlab 30 kun bo'ladi.,positive,no
2023-04-14 19:44:34,"Senatorlar banklarning ustav kapitalini 2025 yilgacha bosqichma-bosqich 500 mlrd so'mgacha oshirishni nazarda tutuvchi tuzatishlarni ma'qulladilar. Bundan tashqari, aktsiyadorlari va yakuniy benefitsiarlari offshor zonada bo'lgan norezidentlar uchun talablar yumshatilmoqda. Markaziy bank rahbarining o'rinbosari Behzod Hamrayev o'zgarishlarni tushuntirdi.",negative,no
2023-04-14 19:36:25,Taxtakaracha dovonida yuk mashinasi jarlikdan qulab tushdi va yonib ketdi. Haydovchi va yo'lovchi kabinadan sakrashga muvaffaq bo'lishdi.,negative,no
2023-04-14 19:17:23,"""Kelgusi uch yil ichida biz tayyor mahsulot eksportini ikki baravar oshirishni rejalashtirmoqdamiz. Bunga erishishning yagona yo'li JST a'zosi bo'lishdir. Bu 164 mamlakat bilan adolatli savdo tizimini yo'lga qo'yish va barqaror bozorlarga ega bo'lish imkonini beradi"", dedi prezident mamlakatning tashkilotga kirish jarayoni bilan tanishib.",positive,no
2023-04-14 18:26:07,"Rossiya tashqi ishlar vaziri Sergey Lavrov O'zbekistonga tashrifi chog'ida gaz Ittifoqi loyihasini muhokama qilishda O'zbekiston, Qozog'iston va Rossiya, shu jumladan prezidentlar darajasida faol rivojlanganligini ma'lum qildi.",positive,no
2023-04-14 17:53:57,"Activist loyihasi muallifi Xodjiakbar Nosirov ""Haram yogurtlari"" videosi uchun 15 kunga hibsga olingan bo'lib, suddan advokatining shikoyatini ko'rib chiqmasdan qoldirishni so'radi, dedi poytaxt sudlari matbuot xizmati. Himoyachi o'z bayonotida tergov va sud jarayonida yuzaga kelishi mumkin bo'lgan qonunbuzarliklarni qayd etdi.",positive,no
2023-04-14 17:17:28,"2024 yilda Samarqandga MDH madaniy poytaxti, Toshkentga esa yoshlar poytaxti maqomi beriladi. Bundan tashqari, Hamdo'stlik mamlakatlari har to'rt yilda nogiron bolalar uchun spartakiada o'tkazishga qaror qilishdi",positive,no
2023-04-14 16:59:05,O'zbekiston bank-moliya akademiyasining Master of Science dasturiga bahorgi qabul boshlandi. Istaganlar to'qqiz yo'nalishdan biriga (reklama huquqi bilan) hujjat topshirishlari mumkin.,positive,yes
2023-04-14 16:48:45,"Markaziy bank ikki oydan so'ng aholining sezilgan inflyatsiyasi to'g'risidagi ma'lumotlarni nashr etishni qayta boshladi. Yanvar oyida bu ko'rsatkich 19,5% gacha ko'tarildi, bu 2020 yil iyulidan beri koronavirus pandemiyasi avj olgan paytdan beri eng yuqori ko'rsatkichdir, ammo shunga qaramay rasmiy inflyatsiya bilan bo'shliq pastroq edi.",negative,no
2023-04-14 16:33:08,O'zbekiston Markaziy banki tomonidan 17 apreldan boshlab belgilangan valyuta kurslari.,negative,no
2023-04-14 16:18:15,"Milanda Tashkent modernizm ko'rgazmasi taqdim etiladi.Index, uning maqsadi Toshkentning modernistik arxitekturasini hujjatlashtirish, talqin qilish va saqlashdir. Shuningdek, poytaxtdagi modernizm yodgorliklari bo'ylab piyoda marshrutni ishlab chiqish rejalashtirilgan.",positive,no
2023-04-14 14:51:05,"Andijon viloyati hokimligi prokuraturaga hokim Shuhrat Abdurahmonovning sha'ni va qadr-qimmatini kamsituvchi ma ' lumotlar tarqatilganligi yuzasidan ariza yuborilganini ma'lum qildi. Avvalroq, ommaviy axborot vositalari, shu jumladan davlat ommaviy axborot vositalari, Abdurahmonovning tarmoqda hokim bilan yaqin video paydo bo'lganidan keyin ishdan bo'shatilganini e'lon qilgan edi.",negative,no
2023-04-14 14:20:37,Inklyuziv biznes-forum 27 aprel kuni Toshkentda bo'lib o'tadi. Tadbirkorlarga inklyuziv ish bilan ta'minlashning muvaffaqiyatli holatlari va nogironligi bo'lgan ish beruvchilar uchun davlat tomonidan beriladigan subsidiyalar va imtiyozlar to'g'risida ma'lumot beriladi.,positive,no
2023-04-14 12:39:45,Xorazm viloyatida erta tongda kuzatilgan kuchli shamol endi boshqa mintaqalarda kuzatilmoqda. Buxoro (birinchi) va Navoiy viloyatlaridan kelgan chang bo'roni haqidagi ushbu videolar Navoiy viloyati Gidrometeorologiya boshqarmasining Telegram kanali tomonidan chop etilgan.,negative,no
2023-04-14 12:26:58,"Prezident farmoni bilan O'zbekistonga sement, kontrplak, qolip va boshqa qurilish materiallari importi 2025 yilgacha bojxona to'lovlaridan ozod qilinadi. Avvalroq, davlat rahbari ushbu chora uy-joy qurish narxini pasaytirishga qaratilganligini ma'lum qilgan edi.",positive,no
2023-04-14 11:45:09,"Kaspiy dengizi mintaqalaridan Turkmaniston orqali salqin va nam havo massalari kirib kelishi natijasida dam olish kunlari kunduzgi harorat +25 darajaga, kechasi — +15 ga tushadi. 25-28 m/s gacha shamol esishi mumkin.",positive,no
2023-04-14 09:46:38,"️ ️ Bir qator Internet ommaviy axborot vositalari, jumladan, davlat ommaviy axborot vositalari Andijon viloyatini qariyb 10 yil davomida boshqargan Shuhrat Abdurahmonovning ishdan bo'shatilgani haqida xabar berdi. Bundan oldin hokim bilan yaqin video paydo bo'lgan. Ushbu ma'lumot rasmiy ravishda tasdiqlanmagan. Ommaviy axborot vositalari o'zlarini rad etishni boshladilar.",negative,no
2023-04-14 09:09:20,"Afg'onistonning qo'shni davlatlari-O'zbekiston, Eron, Xitoy, Pokiston, Rossiya, Tojikiston va Turkmanistonning Vazirlar yig'ilishida tomonlar ushbu davlatda infratuzilma va ijtimoiy — iqtisodiy loyihalarda ishtirok etishga tayyor ekanliklarini bildirishdi. Uchrashuvda Afg'oniston TIV rahbari ham so'zga chiqdi.",positive,no
2023-04-14 06:52:30,Urganch va Xorazm viloyati tumanlarida erta tongda kuchli chang shamollari kuzatildi. Ba'zi hududlarda elektr uzilishlari sodir bo'ldi.,negative,no
2023-04-13 20:59:01,"O 'zbekiston fermer xo' jaliklari dalalari chetidagi 60 ming gektarga yaqin foydalanilmayotgan yerlardan qishloq xo ' jaligi mahsulotlari yetishtirish, o'rdak yetishtirish va asalarichilik uchun foydalanishga qaror qilindi. Sirdaryoda mehnat migratsiyasidan qaytgan va daftarlarga kiritilgan ""ijtimoiy issiqxonalar"" quriladi.",positive,no
2023-04-13 20:07:32,"O 'zbekiston soliq qo' mitasi kartadan kartaga o 'tkazmalarga soliq solish joriy etilganligi to' g ' risidagi xabarlarni rad etdi. Biroq, banklardan birining xodimi, Iqtisodiyot vazirligi va NK vakillari bilan uchrashuv natijalariga ko'ra,""endi soliq organlari siz haqingizda barcha ma'lumotlarni bilib oladi, saqlaydi va tahlil qiladi"".",negative,no
2023-04-13 19:04:39,"Prezident aholini ipoteka kreditlari orqali uy-joy bilan ta'minlash dasturini tasdiqladi. 1 maydan boshlab banklarga fuqarolarga rasmiy daromadsiz ipoteka berish, ipoteka kreditlari bo'yicha tabaqalashtirilgan stavkalarni belgilash, qurilayotgan uyni garov sifatida qabul qilish va boshqalarga ruxsat beriladi.",positive,no
2023-04-13 18:37:14,"Erkak 2019 yil yozida 13 yoshli qizni zo'rlaganlikda gumon qilinmoqda. Keyin u bu haqda ota-onasiga aytishga jur'at etmadi, lekin keyinchalik ular xabardor bo'lgach, oila huquqni muhofaza qilish organlariga bir necha bor murojaat qildi. Jinoyat ishi faqat joriy yilning 4 aprelida qo'zg'atilgan.",negative,no
2023-04-13 18:17:57,"Yangiyul sport klublaridan birida bir yigit vafot etdi, o'lim sababi o'tkir yurak etishmovchiligi edi.",negative,no
2023-04-13 17:45:58,"""Madaniyat va ma'rifat"" (Madaniyat va ma'rifat) telekanali negizida""karvon"" (karvon) kanalini tashkil etish to'g'risidagi hujjat loyihasi jamoatchilik tomonidan tanqid qilindi. Madaniyat va turizm vaziri Ozodbek Nazarbekov telekanal nomi va amaldagi loyihalarini saqlab qolishini ma'lum qildi.",negative,no
2023-04-13 16:06:58,O'zbekiston Markaziy banki tomonidan 14 apreldan boshlab belgilangan valyuta kurslari.,positive,no
2023-04-13 15:45:00,"Chet elliklar va o'zbek biznesi bir-birining umidlarini oqlamaydi, deya xabar beradi TalentLab yollash agentligi. Chet ellik mutaxassislar vazifalarni noaniq belgilash va mahalliy kadrlarning sust intizomidan norozi. Ish beruvchilar-chet elliklarning narxlari yorlig'i va ularning ish natijalari.",positive,no
2023-04-13 15:35:01,"AQSh USM xoldingi Alisher Usmonov va unga aloqador kompaniyalarga qarshi sanktsiyalar kiritdi. Jumladan, ""Ohangarantsement"", Ucellda ulushga ega bo'lgan Digital Invest kompaniyasi va O'zbekistonda markalash tizimi operatori va boshqalar. O'zbekiston fuqarolari va mahalliy aholisi ham sanktsiyalarga duch kelishdi.",positive,no
2023-04-13 15:21:15,"O'zbekiston milliy bioxilma-xillik siyosatini Kunming-Monrealning bioxilma-xillik bo'yicha global doiraviy dasturiga muvofiqlashtiradi, bunda BMTTD uni qo'llab-quvvatlaydi.",positive,no
2023-04-13 15:04:23,"O'zbekistonda platforma ishga tushirildi Saiora.uz, bu ChatGPT 3.5 va 4 texnologiyasiga kirish imkoniyatini beradi (reklama huquqi bilan).",positive,yes
2023-04-13 14:52:21,"Toshkentdagi tantanali tadbirda O'zbekiston prezidenti Falastin, Yaponiya, Qatar, Slovakiya va Pokistonning yangi elchilarining ishonch yorliqlarini qabul qildi.",positive,no
2023-04-13 14:16:41,"16-17 aprel kunlari mamlakat shimolida O'zbekiston hududiga sovuq havo kirib kelishi natijasida tungi harorat 0 darajaga tushadi. Kun davomida butun respublika bo'ylab-yomg'ir, momaqaldiroq va do'l yog'ishi mumkin, harorat +15 darajadan oshmaydi.",positive,no
2023-04-13 14:10:00,"O'zbekiston karantin va o'simliklarni himoya qilish agentligi va Tojikistonning ""chigirtkalarga qarshi ekspeditsiya"" muassasasi FAO ko'magida 70 ming gektar yerni transchegaraviy tekshiruvdan o'tkazdi.",positive,no
2023-04-13 13:59:51,O'zbekiston birinchi oltita davlat qatorida JSST tomonidan qo'llab-quvvatlanadigan yangi global platforma doirasida bolalar saratoniga qarshi dori-darmonlarni qabul qiladi. Uni ishga tushirishga tayyorgarlik forumi AQShda bo'lib o'tmoqda.,positive,no
2023-04-13 13:05:18,"Toshkentdagi Oltintopgan ko'chasida Spark haydovchisi yo'l chetida turgan boshqa Spark bilan to'qnashuvdan so'ng boshqaruvni yo'qotib, yo'l bo'ylab ketayotgan ayolga yugurdi. Jabrlanuvchi kasalxonada vafot etdi.",negative,no
2023-04-13 12:46:02,"Toshkent may oyigacha 1000 ta katta va ayniqsa katta sig'imli yangi avtobuslarni olishi kerak. Qisqa vaqt ichida bunday miqdordagi avtobuslar hech qachon etkazib berilmagan.

8 aprel holatiga ko'ra poytaxtga 100 ta elektr avtobus, 103 ta avtobus va 30 ta ""harmonika""yetkazib berildi.

Biz avtobus parkiga bordik va yangi transportning ichkaridan qanday ko'rinishini, eskisidan qanday farq qilishini va boshqalarni bilib oldik.",positive,no
2023-04-13 10:59:04,Meest China tovarlarni etkazib berish xizmati Xitoy bozorlarida (reklama huquqi asosida) onlayn xarid qilishning nozik va afzalliklari haqida gapirdi.,positive,yes
2023-04-13 10:36:04,"Istiqbolli loyihalar milliy agentligi taniqli qozog'istonlik tadbirkor, investor va jamoat arbobi Marg'ulan Seysembayevni Toshkentga taklif qildi. 

Yakshanba kuni raqamli iqtisodiyot va agrotexnologiyalar universitetida bo'lib o'tgan ma'ruzasida u O'zbekiston uchun qishloq xo'jaligining afzalliklari, neyron tarmoqlarni tartibga solish va to'siqlar bo'yicha mamlakatning rivojlanish darajasi haqida nima deyish mumkinligi haqida gapirdi.

Videoda nutq parchasini ko'ring.

Uchrashuv haqida ko'proq ma'lumot:",positive,no
2023-04-13 10:18:46,Toshkent aeroportida ikkinchi uchish-qo'nish yo'li rekonstruksiya qilindi. Jurnalistlar Dubaydan kelgan Uzbekistan Airways aviakompaniyasining yangilangan uchish — qo'nish yo'lagiga qo'ngan birinchi samolyot-Boeing 787 Dreamliner bilan uchrashishdi.,positive,no
2023-04-13 09:25:00,"Polshaga o'qishga qanday kirish mumkin. Otabek Zufarov Tarixi

2021 yilda Otabek Zufarov Polshaning eng yaxshi uchta ta'lim muassasalaridan biri bo'lgan Poznan shahridagi Adam Mitskevich universitetiga o'qishga kirdi. ""Xorijiy diplom"" loyihasi doirasida u viza olishning murakkabligi va Polsha ta'lim tizimining afzalliklari haqida gapirdi.",negative,no
2023-04-13 08:59:05,"""O'zbekinvest """"O'zbekinvestdan suyunchi-2"" aksiyasi g'oliblariga sovrinlarni topshirdi. Sovrinlar orasida Chevrolet Gentra, iPhone 13 Pro smartfonlari, shuningdek, Samsung va AUX maishiy texnikalari bor edi. Avtomobilni qoraqalpog'istonlik Qosimov Ayapbergen (reklama huquqi bilan) yutgan.",negative,yes
2023-04-13 08:04:06,"Toshkentda yozga qadar rejalashtirilgan Respublika bolalar kutubxonasining ochilishi kuzga qoldirildi. Bu murakkab tiklash ishlari bilan bog'liq. Bundan tashqari, kutubxona oldida obodonlashtirish ishlari olib borilmoqda, bu ""jamoat maydonining munosib namunasi""bo'lishni va'da qilmoqda.",negative,no
2023-04-12 20:45:00,"️ ️ O'zbekistonning ""Ohangarantsement"" sement zavodi AQShning yangi sanksiyalari ostida qoldi. USM xolding kompaniyasi Alisher Usmonov tomonidan tashkil etilgan Akkermann Cement CA kompaniyasi ham cheklovlarga duch keldi, u 2022 yil boshida zavod aksiyalarining 98,6 foizini sotib oldi.",negative,no
2023-04-12 20:31:10,"Buyuk Britaniya sanksiyalar ro'yxatiga tadbirkor Alisher Usmonovning USM xoldingini, shuningdek, u bilan bog'liq deb taxmin qilingan ikkita kompaniyani qo'shdi. USM sanktsiyalarni adolatsiz va asossiz deb bilishini aytdi.",positive,no
2023-04-12 20:10:00,"Toshkentda yangi shahar elektr avtobuslari va avtobuslari, shu jumladan poytaxtda 20 yil bo'lmagan ""akkordeonlar"" taqdim etildi. ""Газета.uz ""men avtobuslarning xususiyatlarini,"" akkordeonlar "" qaysi yo'nalishlarga qo'yilishini va buning uchun chiziqlar va to'xtash joylarini qanday tayyorlashni bilib oldim.",positive,no
2023-04-12 19:54:34,"Voyaga etmagan qizni zo'rlashda gumon qilingan Namangan, ilgari hibsga olishga urinish paytida qochib ketgan, u yashagan ko'chadagi uyning podvalida topilgan. Unga nisbatan qamoqqa olish shaklida ehtiyot chorasi qo'llanilgan.",positive,no
