text,date,like_count,dislike_count,cry_count,think_count
"Удобная рассрочка от NRG

Впервые NRG Uzbekistan предоставляет возможность приобрести квартиру на максимально лояльных условиях.

ЖК NRG Jomiy – это оптимальная возможность улучшить качество жизни.

Условия:

– первоначальный взнос – от 30%;
– скидки до 18%.

Не стоит упускать шанс стать обладателем качественного дома, в котором собрано множество преимуществ.

Предложение ограничено.

Подробности по телефону: 1060.

Telegram | Instagram
Youtube

На правах рекламы.",2023-04-17 15:03:59,22,54,0,0
"Гимнастки Узбекистана завоевали одну серебряную и три бронзовые медали на этапе Кубка мира по художественной гимнастике в Ташкенте. Заключительный день соревнований посетили Саида Мирзиёева, Алина Кабаева и другие гости.

https://www.gazeta.uz/ru/2023/04/17/gymnastics/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-17 14:43:30,249,34,0,8
"В Узбекистане стартовала программа «Моя дорога» в рамках инициативного бюджета на портале Open Budget. Граждане могут принять участие в распределении 312 млрд сумов, предложив проекты по ремонту и строительству дорог в своих махаллях. Сбор предложений продлится до 26 апреля.

https://www.gazeta.uz/ru/2023/04/17/my-road/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-17 14:33:22,62,187,0,14
"И. о. хокима Ташкента Шавкат Умурзаков с момента назначения на этот пост менее месяца назад подписал 35 решений, но почти половина из них скрыта от общественности. 4 из 14 принятых распоряжений также недоступны.

https://www.gazeta.uz/ru/2023/04/17/e-qaror/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-17 13:31:11,23,981,7,45
"В среду антициклон начнёт отступать с территории Узбекистана, и до конца рабочей недели установится сухая погода. Температура воздуха будет постепенно повышаться и к пятнице ночью будет в пределах +4…+9 градусов, днём — +20…+25.

https://www.gazeta.uz/ru/2023/04/17/meteo/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-17 11:40:02,139,36,0,0
"В Ферганской области задержана женщина, пытавшаяся продать 8-месячную дочь за 10 тысяч долларов. Она собиралась купить на полученные деньги квартиру.

https://www.gazeta.uz/ru/2023/04/17/child-trafficking/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-17 10:29:11,27,73,269,15
"В выходные в Германии были отключены от электросети три остававшиеся АЭС. Это планировалось сделать в 2022 году, но из-за сокращения поставок газа из России срок был перенесён. На долю трёх АЭС приходилось лишь 6% вырабатываемой в стране электроэнергии.

https://www.gazeta.uz/ru/2023/04/17/germany/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-17 09:42:08,293,51,12,70
"19 апреля Станция 7 («Куйлюк») кольцевой линии метро в Ташкенте будет закрыта в связи с тестированием движения поездов между пятью новыми станциями.

https://www.gazeta.uz/ru/2023/04/17/bekat-7/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-17 09:13:15,105,23,0,12
"В салоне автобуса маршрута 43 (Isuzu) в Ташкенте появились объявления о наличии в салоне женской и мужской зон. В «Тошшахартрансхизмат» заявили об удалении объявлений и напомнили о равноправии женщин и мужчин.

https://www.gazeta.uz/ru/2023/04/17/bus/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-17 08:34:03,230,434,18,56
"Художник-муралист из Нью-Йорка Лэнс Джонсон провел в Ташкенте две недели и создал уникальные абстрактные работы с молодыми ташкентскими коллегами. Это стало возможным благодаря его участию в программе CEC ArtsLinks и театру «Ильхом». 

Мы встретились с художником и поговорили о его любви к граффити, общественной ценности этого вида искусства и выставке «Диалоги», которая состоялась по итогам его визита. Джонсон также показал нам, как он создает работы.

Смотрите интервью на английском языке по ссылке: https://youtu.be/5RfJ2_PslVE

@gazetauzspecial",2023-04-16 15:07:13,143,31,0,8
"Аналитик Карен Срапионов считает, что увеличение минимального капитала банков может быть связано с желанием консолидации рынка и не лучшим образом отвечает интересам банковской системы. В своей колонке он выражает надежду, что проект закона ещё можно пересмотреть.

https://www.gazeta.uz/ru/2023/04/15/capitalization/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-15 19:20:48,128,22,0,11
"Глава Минэнерго Узбекистана Журабек Мирзамахмудов и замглавы правительства России Александр Новак обсудили возможности увеличения поставок нефти и нефтепродуктов в Узбекистан, а также о перспективах участия компании «Росатом» в строительстве новых объектов атомной энергетики.

https://www.gazeta.uz/ru/2023/04/15/uzb-rus/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-15 17:58:14,328,218,0,24
"С 17 по 21 апреля в Ташкенте и областях республики пройдёт Международный фестиваль изобразительного и прикладного искусства. В программе — выставки художников Узбекистана и зарубежных стран, мастер-классы по живописи и прикладному искусству, показы исторических костюмов и современной одежды.

https://www.gazeta.uz/ru/2023/04/15/festival/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-15 17:10:00,123,12,2,8
"«Нужно быть немного безбашенным». Артисты цирка — о своей работе

Ежегодно в третью субботу апреля отмечается Всемирный день цирка. В своих выступлениях артисты всегда отражали текущую жизнь общества, поэтому они полюбились зрителям. В честь знаменательной даты «Газета.uz» поговорила с артистами государственного цирка о профессии и её значении в их жизни.

https://www.gazeta.uz/ru/2023/04/15/circus/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-15 16:53:58,110,11,0,0
"Агентство по противодействию коррупции Узбекистана опубликовало на сайте перечень подарков, полученных главой ведомства Акмалом Бурхановым. Общая стоимость восьми сувениров и настенных картин оценена в 14,57 млн сумов.

https://www.gazeta.uz/ru/2023/04/15/gifts/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-15 14:33:46,130,105,2,63
"Узгидромет и фонд Zamin в рамках совместного проекта установили две новые автоматические станции мониторинга воздуха в Джизаке и Гулистане. Станции также будут установлены в Ургенче, Нукусе, Самарканде, Термезе и других городах. Две станции уже действуют в Ташкенте.

https://www.gazeta.uz/ru/2023/04/15/air/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-15 12:40:41,165,20,2,10
"Классический кулич с цукатами и глазурью, творожный кулич, пасхальное печенье с сюрпризом, сдобные булочки с сухофруктами и другие рецепты выпечки к пасхальному чаепитию — в подборке Zira.uz.

https://www.gazeta.uz/ru/2023/04/15/zira/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-15 10:15:02,146,19,0,4
"Locas Tour предлагает тур в Дубай – город, в котором можно насладиться уникальной атмосферой и увидеть всю красоту моря и пустыни.

Условия:

– дата — с 5 по 12 мая (7 ночей);
– цена — от 5 855 000 сумов на одного человека при двухместном размещении.

В стоимость входит:

– авиаперелет на Wizz Air;
– проживание в трехзвездочном отеле Hotel ibis Dubai Al Barsha;
– питание на базе завтраков;
– трансфер.

Отдельно оплачиваются виза и страховка.

По промокоду Gazetauz доступна скидка — 30 долларов.

Телефон: (+998) 78-777-73-77.
Telegram: t.me/LocasTourbot

Реклама.",2023-04-15 09:00:08,99,40,0,4
"Семь кинопремьер, день открытых дверей в Ташкентском цирке, ярмарка «Восточный базар», забег Sakura Run, концерты, выставки, творческие мастер-классы, вечеринки, спектакли, мероприятия для детей и другие события предстоящих выходных — в подборке @afishauz.

https://www.gazeta.uz/ru/2023/04/14/afisha/

➖ @gazetauz ➖",2023-04-14 21:15:01,74,10,4,8
"Правительства Казахстана и Китая планируют ввести безвизовый режим для своих граждан в обе стороны. Срок пребывания без визы составит 30 дней с момента пересечения границы.

https://www.gazeta.uz/ru/2023/04/14/kaz-china/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-14 20:50:26,339,36,3,20
"Сенаторы одобрили поправки, предусматривающие поэтапное увеличение до 2025 года уставного капитала банков до минимума в 500 млрд сумов. Кроме того, смягчаются требования для нерезидентов, чьи акционеры и конечные бенефициары находятся в офшорной зоне. Замглавы ЦБ Бехзод Хамраев объяснил изменения.

https://www.gazeta.uz/ru/2023/04/14/banks/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-14 19:44:34,36,120,4,46
"На перевале Тахтакарача грузовик сорвался с обрыва и загорелся. Водитель и пассажир смогли выпрыгнуть из кабины.

https://www.gazeta.uz/ru/2023/04/14/pass/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-14 19:36:25,39,18,112,2
"«В ближайшие три года мы планируем удвоить экспорт готовой продукции. Единственный способ добиться этого — стать членом ВТО. Это позволит наладить систему справедливой торговли со 164 странами и обрести стабильные рынки», — сказал президент, ознакомившись с процессом вступления страны в организацию.

https://www.gazeta.uz/ru/2023/04/14/wto/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-14 19:17:23,278,135,0,24
"Глава МИД РФ Сергей Лавров в ходе визита в Узбекистан заявил, что Узбекистан, Казахстан и Россия, «в том числе на уровне президентов, активно продвинулись» в обсуждении проекта газового союза.

https://www.gazeta.uz/ru/2023/04/14/gas-union/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-14 18:26:07,468,384,0,23
"Автор проекта Activist Ходжиакбар Носиров, арестованный на 15 суток за видео про «харамные йогурты», попросил суд оставить без рассмотрения апелляционную жалобу его адвоката, сообщила пресс-служба столичных судов. Защитник в заявлении отмечал возможные нарушения при следствии и судебном процессе.

https://www.gazeta.uz/ru/2023/04/14/activist/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-14 17:53:57,51,25,8,135
"В 2024 году Самарканду будет придан статус культурной столицы СНГ, а Ташкенту — молодёжной столицы. Кроме того, страны содружества приняли решение проводить каждые четыре года спартакиаду для детей с инвалидностью

https://www.gazeta.uz/ru/2023/04/14/cis/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-14 17:17:28,320,61,4,16
"Стартовал весенний набор на программу Master of Science Банковско-финансовой академии Узбекистана. Желающие могут подать документы на один из девяти направлений (на правах рекламы).

https://www.gazeta.uz/ru/2023/04/14/bfa-uz/",2023-04-14 16:59:05,41,15,0,0
"Центробанк возобновил публикацию данных по ощущаемой инфляции населения спустя два месяца. Этот показатель в январе вырос до 19,5%, что является максимумом с июля 2020 года, когда был пик пандемии коронавируса, но даже тогда разрыв с официальной инфляцией был ниже.

https://www.gazeta.uz/ru/2023/04/14/perceived-inflation/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-14 16:48:45,35,145,17,5
"Курсы валют, установленные Центральным банком Узбекистана с 17 апреля. 

➖ @gazetauz ➖",2023-04-14 16:33:08,30,65,5,6
"В Милане презентуют выставку Tashkent Modernism.Index, цель которой — задокументировать, интерпретировать и сохранить модернистскую архитектуру Ташкента. Планируется также разработать пеший маршрут по памятникам модернизма в столице.

https://www.gazeta.uz/ru/2023/04/14/exhibition/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-14 16:18:15,144,25,1,9
"Хокимият Андижанской области сообщил, что в прокуратуру направлено заявление по факту распространения сведений, ущемляющих честь и достоинство хокима Шухрата Абдурахманова. Ранее СМИ, включая государственные, заявили об увольнении Абдурахманова после появления в сети интимного видео якобы с хокимом.

https://www.gazeta.uz/ru/2023/04/14/abdurakhmanov/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-14 14:51:05,37,221,1,56
"Инклюзивный бизнес-форум состоится 27 апреля в Ташкенте. Предпринимателям расскажут об успешных кейсах инклюзивного трудоустройства и о субсидиях и льготах от государства для работодателей, трудоустраивающих людей с инвалидностью.

https://www.gazeta.uz/ru/2023/04/14/employment/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-14 14:20:37,66,24,1,0
"Сильный ветер, наблюдавшийся рано утром в Хорезмской области, наблюдается теперь в других регионах. Эти видео пыльной бури из Бухарской (первое) и Навоийской областей опубликованы Telegram-каналом гидрометеорологического управления Навоийской области.

➖ @gazetauz ➖",2023-04-14 12:39:45,52,34,143,6
"Указом президента импорт цемента, фанеры, опалубки и других стройматериалов в Узбекистан освобождается от таможенных пошлин до 2025 года. Ранее глава государства сообщал, что эта мера направлена на удешевление строительства жилья.

https://www.gazeta.uz/ru/2023/04/14/cheaper-construction/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-14 12:26:58,159,18,0,31
"Вследствие вторжения прохладных и влажных воздушных масс с районов Каспийского моря через Туркменистан дневная температура на выходных понизится до +25 градусов, ночью — до +15. Возможны порывы ветра до 25−28 м/с.

https://www.gazeta.uz/ru/2023/04/14/meteo/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-14 11:45:09,136,7,4,0
"❗️Ряд интернет-СМИ, включая государственные, сообщил об увольнении Шухрата Абдурахманова, возглавлявшего Андижанскую область почти 10 лет. Этому предшествовало появление интимного видео якобы с хокимом. Официально эта информация не подтверждается. СМИ начали опровергать себя.

https://www.gazeta.uz/ru/2023/04/14/andijan/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-14 09:46:38,60,196,2,50
"На министерской встрече стран-соседей Афганистана — Узбекистана, Ирана, Китая, Пакистана, России, Таджикистана и Туркменистана — стороны проявили готовность участвовать в инфраструктурных и социально-экономических проектах в этом государстве. На встрече также выступил глава МИД Афганистана.

https://www.gazeta.uz/ru/2023/04/13/afganistan/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-14 09:09:20,163,57,1,26
"В Ургенче и районах Хорезмской области рано утром наблюдался сильный ветер с пылью. В некоторых районах произошли отключения электроэнергии.

https://www.gazeta.uz/ru/2023/04/14/wind/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-14 06:52:30,25,44,106,0
"Около 60 тысяч га неиспользуемых земель по краям полей фермерских хозяйств Узбекистана решено задействовать для выращивания сельхозпродукции, разведения уток и пчеловодства. В Сырдарье построят «социальные теплицы», которые смогут выкупить вернувшиеся из трудовой миграции и включённые в «тетради».

https://www.gazeta.uz/ru/2023/04/13/fields/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-13 20:59:01,177,41,0,24
"Налоговый комитет Узбекистана опроверг сообщения о введении налогообложения переводов с карты на карту. Однако сотрудник одного из банков по итогам встречи с представителями Минэкономфина и НК заявил, что «теперь налоговые органы будут знать, хранить и анализировать всю информацию о вас».

https://www.gazeta.uz/ru/2023/04/13/p2p/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-13 20:07:32,47,285,0,23
"Президент утвердил программу обеспечения населения жильём за счёт ипотечных кредитов. С 1 мая банкам разрешат выдавать ипотеку гражданам без официального дохода, устанавливать дифференцированные ставки по ипотечным займам, принимать в качестве залога строящийся дом и другое.

https://www.gazeta.uz/ru/2023/04/13/ipoteka/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-13 19:04:39,157,58,14,9
"Мужчина подозревается в изнасиловании 13-летней девочки летом 2019 года. Тогда она не решилась рассказать об этом родителям, но позже, когда им стало известно, семья неоднократно подавала заявление в правоохранительные органы. Уголовное дело возбудили только 4 апреля нынешнего года.

https://www.gazeta.uz/ru/2023/04/13/girl/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-13 18:37:14,38,320,171,5
"В одном из спортклубов Янгиюля скончался молодой человек, причиной смерти стала острая сердечная недостаточность.

https://www.gazeta.uz/ru/2023/04/13/yangiyul/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-13 18:17:57,14,13,195,6
"Проект документа о создании на базе телеканала «Маданият ва маърифат» («Культура и просвещение») канала «Карвон» («Караван») подвергся критике со стороны общественности. Министр культуры и туризма Озодбек Назарбеков сообщил, что телеканал сохранит название и действующие проекты.

https://www.gazeta.uz/ru/2023/04/13/tv-channel/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-13 17:45:58,65,180,0,26
"Курсы валют, установленные Центральным банком Узбекистана с 14 апреля. 

➖ @gazetauz ➖",2023-04-13 16:06:58,66,28,6,4
"Экспаты и узбекский бизнес не оправдывают ожидания друг друга, выяснило рекрутинговое агентство TalentLab. Иностранные специалисты недовольны расплывчатой постановкой задач и слабой дисциплиной местных кадров. Работодатели — ценником экспатов и результатами их работы.

https://www.gazeta.uz/ru/2023/04/13/expats/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-13 15:45:00,185,13,0,70
"США ввели санкции против холдинга USM Алишера Усманова и связанных с ним компаний. В числе — «Ахангаранцемент», компания Digital Invest, владеющая долей в Ucell и оператором системы маркировки в Узбекистане, и другие. Под санкции также попали граждане и уроженцы Узбекистана.

https://www.gazeta.uz/ru/2023/04/13/sanctions-uzb/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-13 15:35:01,240,155,5,35
"Узбекистан приведёт национальную политику в области биоразнообразия в соответствие с Куньмин-Монреальской глобальной рамочной программой по биоразнообразию, в этом ему окажет поддержку ПРООН.

https://www.gazeta.uz/ru/2023/04/13/biodiversity/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-13 15:21:15,99,18,0,28
"В Узбекистане запущена платформа Saiora.uz, которая даёт возможность получить доступ к технологии ChatGPT 3.5 и 4 (на правах рекламы).

https://www.gazeta.uz/ru/2023/04/13/saiora-uz",2023-04-13 15:04:23,98,61,0,28
"На торжественном мероприятии в Ташкенте президент Узбекистана принял верительные грамоты новых послов Палестины, Японии, Катара, Словакии и Пакистана.

https://www.gazeta.uz/ru/2023/04/13/ambassadors/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-13 14:52:21,114,24,0,0
"В результате вторжения холодного воздуха на территорию Узбекистана 16−17 апреля на севере страны ночная температура упадёт до 0 градусов. Днём по всей республике — дожди, возможны грозы и град, температура — не выше +15 градусов.

https://www.gazeta.uz/ru/2023/04/13/meteo/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-13 14:16:41,143,41,31,13
"Агентство по карантину и защите растений Узбекистана и таджикистанское учреждение «Экспедиция по борьбе с саранчой» при поддержке ФАО провели трансграничное обследование 70 тысяч га земли.

https://www.gazeta.uz/ru/2023/04/13/fao/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-13 14:10:00,131,10,3,4
"Узбекистан в числе первых шести стран получит лекарства от детского рака в рамках новой глобальной платформы, поддерживаемой ВОЗ. Форум по подготовке к её запуску проходит в США.

https://www.gazeta.uz/ru/2023/04/13/cancer/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-13 13:59:51,235,40,0,33
"На улице Олтинтопган в Ташкенте водитель Spark после столкновения с другим Spark, припаркованным на обочине, потеряла управление и наехала на женщину, которая шла вдоль дороги. Пострадавшая скончалась в больнице.

https://www.gazeta.uz/ru/2023/04/13/dtp/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-13 13:05:18,19,60,267,3
"Ташкент до мая должен получить 1000 новых автобусов большой и особо большой вместимости. Поставок такого количества автобусов за короткий срок никогда не было.

По состоянию на 8 апреля в столицу поставили 100 электробусов, 103 автобуса и 30 «гармошек».

Мы отправились в автобусный парк и узнали, как новый транспорт выглядит изнутри, чем отличается от старого и многое другое.

https://www.youtube.com/watch?v=YzEJiJRjAvo

@gazetauzspecial",2023-04-13 12:46:02,154,25,5,13
"Сервис доставки товаров Meest China рассказал о тонкостях и преимуществах онлайн-шопинга на китайских торговых площадках (на правах рекламы).

https://www.gazeta.uz/ru/2023/04/13/meest-china/",2023-04-13 10:59:04,43,20,0,7
"Национальное агентство перспективных проектов пригласило известного казахстанского предпринимателя, инвестора и общественного деятеля Маргулана Сейсембаева в Ташкент. 

На лекции в Университете цифровой экономики и агротехнологий в воскресенье он рассказал о преимуществах сельского хозяйства для Узбекистана, регулировании нейросетей и о том, что можно сказать об уровне развития страны по заборам.

Смотрите фрагмент выступления на видео.

Подробнее о встрече:
https://www.gazeta.uz/ru/2023/04/11/margulan/

@gazetauzspecial",2023-04-13 10:36:04,77,84,2,12
"В аэропорту Ташкента завершена реконструкция второй взлётно-посадочной полосы. Журналисты встретили первый самолёт, совершивший посадку на обновлённую ВПП, — Boeing 787 Dreamliner компании Uzbekistan Airways, прибывший из Дубая.

https://www.gazeta.uz/ru/2023/04/13/tashkent-airport-runway/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-13 10:18:46,195,10,0,2
"Как поступить на учёбу в Польшу. История Отабека Зуфарова

В 2021 году Отабек Зуфаров поступил в Университет имени Адама Мицкевича в Познани, который входит в тройку лучших образовательных учреждений Польши. В рамках проекта «Заграничный диплом» он рассказал о сложностях получения визы и преимуществах польской образовательной системы.

https://www.gazeta.uz/ru/2023/04/13/study-in-poland/?utm_source=push&utm_medium=telegram

➖ @gazetauz ➖",2023-04-13 09:25:00,113,163,0,6
"«Узбекинвест» вручил призы победителям акции «Узбекинвестдан cуюнчи-2». Среди призов были Chevrolet Gentra, смартфоны iPhone 13 Pro, а также бытовая техника от Samsung и AUX. Автомобиль выиграл житель из Каракалпакстана Касымов Аяпберген (на правах рекламы).

https://www.gazeta.uz/ru/2023/04/13/uzbekinvest-1",2023-04-13 08:59:05,58,82,0,6
