text,clean_text,sentiment
Farg'ona viloyatida 8 oylik qizini 10 ming dollarga sotmoqchi bo'lgan ayol hibsga olingan. U olgan pullari bilan kvartira sotib olmoqchi edi.,fargona viloyatida oylik qizini ming dollarga sotmoqchi bolgan ayol hibsga olingan u olgan pullari bilan kvartira sotib olmoqchi edi,0
"Dam olish kunlari Germaniyada qolgan uchta AES elektr tarmog'idan uzildi. Buni 2022 yilda amalga oshirish rejalashtirilgan edi, ammo Rossiyadan gaz etkazib berishning qisqarishi tufayli muddat qoldirildi. Uchta AES mamlakatda ishlab chiqarilgan elektr energiyasining atigi 6 foizini tashkil etdi.",dam olish kunlari germaniyada qolgan uchta aes elektr tarmogidan uzildi buni yilda amalga oshirish rejalashtirilgan edi ammo rossiyadan gaz etkazib berishning qisqarishi tufayli muddat qoldirildi uchta aes mamlakatda ishlab chiqarilgan elektr energiyasining atigi foizini tashkil etdi,1
"19 aprel kuni Toshkentdagi metro halqa liniyasining 7-stansiyasi (""Kuyluk"") beshta yangi stansiya o'rtasida poyezdlar harakati sinovdan o'tkazilishi munosabati bilan yopiladi.",aprel kuni toshkentdagi metro halqa liniyasining stansiyasi kuyluk beshta yangi stansiya ortasida poyezdlar harakati sinovdan otkazilishi munosabati bilan yopiladi,1
Toshkentdagi 43-yo'nalishdagi avtobus salonida (Isuzu) salonda ayollar va erkaklar zonalari mavjudligi haqida e'lonlar paydo bo'ldi. Toshshahartransxizmat e'lonlarni olib tashlashni e'lon qildi va ayollar va erkaklarning tengligini eslatdi.,toshkentdagi yonalishdagi avtobus salonida isuzu salonda ayollar va erkaklar zonalari mavjudligi haqida elonlar paydo boldi toshshahartransxizmat elonlarni olib tashlashni elon qildi va ayollar va erkaklarning tengligini eslatdi,0
"Nyu-yorklik muralist rassom Lens Jonson Toshkentda ikki hafta o'tkazdi va yosh toshkentlik hamkasblari bilan noyob mavhum asarlar yaratdi. Bu uning CEC ArtsLinks dasturi va Ilhom teatridagi ishtiroki tufayli mumkin bo'ldi. 

Biz rassom bilan uchrashdik va uning graffitiga bo'lgan muhabbati, ushbu san'at turining ijtimoiy ahamiyati va tashrifi natijasida bo'lib o'tgan ""dialoglar"" ko'rgazmasi haqida suhbatlashdik. Jonson bizga asarlarni qanday yaratishini ham ko'rsatdi.

Ingliz tilidagi intervyuga havola orqali qarang:",nyu yorklik muralist rassom lens jonson toshkentda ikki hafta otkazdi va yosh toshkentlik hamkasblari bilan noyob mavhum asarlar yaratdi bu uning cec artslinks dasturi va ilhom teatridagi ishtiroki tufayli mumkin boldi biz rassom bilan uchrashdik va uning graffitiga bolgan muhabbati ushbu sanat turining ijtimoiy ahamiyati va tashrifi natijasida bolib otgan dialoglar korgazmasi haqida suhbatlashdik jonson bizga asarlarni qanday yaratishini ham korsatdi ingliz tilidagi intervyuga havola orqali qarang,1
"Tahlilchi Karen Srapionovning fikricha, banklarning minimal kapitalining o'sishi bozorni birlashtirish istagi bilan bog'liq bo'lishi mumkin va bank tizimining manfaatlariga mos kelmaydi. U o'z ustunida qonun loyihasini qayta ko'rib chiqish mumkinligiga umid bildiradi.",tahlilchi karen srapionovning fikricha banklarning minimal kapitalining osishi bozorni birlashtirish istagi bilan bogliq bolishi mumkin va bank tizimining manfaatlariga mos kelmaydi u oz ustunida qonun loyihasini qayta korib chiqish mumkinligiga umid bildiradi,1
"O'zbekiston energetika vazirligi rahbari Jurabek Mirzamahmudov va Rossiya hukumati rahbarining o'rinbosari Aleksandr Novak O'zbekistonga neft va neft mahsulotlari yetkazib berishni ko'paytirish imkoniyatlarini, shuningdek, ""Rosatom"" kompaniyasining yangi atom energetikasi obyektlarini qurishda ishtirok etish istiqbollarini muhokama qildilar.",ozbekiston energetika vazirligi rahbari jurabek mirzamahmudov va rossiya hukumati rahbarining orinbosari aleksandr novak ozbekistonga neft va neft mahsulotlari yetkazib berishni kopaytirish imkoniyatlarini shuningdek rosatom kompaniyasining yangi atom energetikasi obyektlarini qurishda ishtirok etish istiqbollarini muhokama qildilar,1
"17-21 aprel kunlari Toshkent va respublika viloyatlarida xalqaro tasviriy va amaliy san'at festivali bo'lib o'tadi. Dasturda O'zbekiston va xorijiy mamlakatlar rassomlarining ko'rgazmalari, rasm va amaliy san'at bo'yicha mahorat darslari, tarixiy liboslar va zamonaviy kiyimlar namoyish etildi.",aprel kunlari toshkent va respublika viloyatlarida xalqaro tasviriy va amaliy sanat festivali bolib otadi dasturda ozbekiston va xorijiy mamlakatlar rassomlarining korgazmalari rasm va amaliy sanat boyicha mahorat darslari tarixiy liboslar va zamonaviy kiyimlar namoyish etildi,1
"""Siz biroz beparvo bo'lishingiz kerak."" Sirk ijrochilari - ularning ishlari haqida

Har yili aprel oyining uchinchi shanba kuni Butunjahon sirk kuni nishonlanadi. Rassomlar o'zlarining chiqishlarida har doim jamiyatning hozirgi hayotini aks ettirgan, shuning uchun ular tomoshabinlar tomonidan sevilgan. Muhim sana sharafiga ""Газета.uz"" men davlat sirk san'atkorlari bilan kasb va uning hayotidagi ahamiyati haqida suhbatlashdim.",siz biroz beparvo bolishingiz kerak sirk ijrochilari ularning ishlari haqida har yili aprel oyining uchinchi shanba kuni butunjahon sirk kuni nishonlanadi rassomlar ozlarining chiqishlarida har doim jamiyatning hozirgi hayotini aks ettirgan shuning uchun ular tomoshabinlar tomonidan sevilgan muhim sana sharafiga uz men davlat sirk sanatkorlari bilan kasb va uning hayotidagi ahamiyati haqida suhbatlashdim,1
"O'zbekiston korrupsiyaga qarshi kurashish agentligi veb-saytida agentlik rahbari Akmal Burxanov olgan sovg'alar ro'yxatini e'lon qildi. Sakkizta suvenir va devor rasmlarining umumiy qiymati 14,57 mln so'mga baholandi.",ozbekiston korrupsiyaga qarshi kurashish agentligi veb saytida agentlik rahbari akmal burxanov olgan sovgalar royxatini elon qildi sakkizta suvenir va devor rasmlarining umumiy qiymati mln somga baholandi,1
"""O' zgidromet "" va ""Zaminn"" jamg 'armasi qo' shma loyiha doirasida Jizzax va Guliston shaharlarida ikkita yangi avtomatik havo monitoringi stansiyasini o ' rnatdilar. Shuningdek, stantsiyalar Urganch, Nukus, Samarqand, Termiz va boshqa shaharlarda o'rnatiladi. Toshkentda ikkita stansiya faoliyat ko'rsatmoqda.",o zgidromet va zaminn jamg armasi qo shma loyiha doirasida jizzax va guliston shaharlarida ikkita yangi avtomatik havo monitoringi stansiyasini o rnatdilar shuningdek stantsiyalar urganch nukus samarqand termiz va boshqa shaharlarda ornatiladi toshkentda ikkita stansiya faoliyat korsatmoqda,1
"Shakarlangan mevalar va muzli klassik Pasxa keki, tvorogli pirojnoe, kutilmagan Pasxa pishiriqlari, quritilgan mevalar bilan boy rulolar va Pasxa choy partiyasi uchun boshqa pishirish retseptlari-tanlovda Zira.uz.",shakarlangan mevalar va muzli klassik pasxa keki tvorogli pirojnoe kutilmagan pasxa pishiriqlari quritilgan mevalar bilan boy rulolar va pasxa choy partiyasi uchun boshqa pishirish retseptlari tanlovda zirauz,1
"Locas Tour Dubayga sayohatni taklif etadi-bu noyob atmosferadan bahramand bo'lish va dengiz va cho'lning barcha go'zalligini ko'rish uchun shahar.

Shartlar:

- sana - 5 dan 12 maygacha (7 kecha);
- narxi-ikki kishilik turar joy bilan bir kishiga 5 855 000 so'mdan.

Narxga quyidagilar kiradi:

- Wizz Air - da havo sayohati;
- uch yulduzli Hotel ibis Dubai Al Barsha mehmonxonasida qolish;
- nonushta asosida ovqatlanish;
- transfer.

Viza va sug'urta alohida to'lanadi.

Gazetauz promo-kodi 30 dollarlik chegirmaga ega.

Telefon: (+998) 78-777-73-77.
Telegram: t.me/LocasTourbot

Reklama.",locas tour dubayga sayohatni taklif etadi bu noyob atmosferadan bahramand bolish va dengiz va cholning barcha gozalligini korish uchun shahar shartlar sana dan maygacha kecha narxi ikki kishilik turar joy bilan bir kishiga somdan narxga quyidagilar kiradi wizz air da havo sayohati uch yulduzli hotel ibis dubai al barsha mehmonxonasida qolish nonushta asosida ovqatlanish transfer viza va sugurta alohida tolanadi gazetauz promo kodi dollarlik chegirmaga ega telefon telegram tme locastourbot reklama,1
"Yetti kino premyerasi, Toshkent sirkidagi ochiq eshiklar kuni, ""Sharq bozori"" yarmarkasi, Sakura Run yugurishi, konsertlar, ko'rgazmalar, ijodiy mahorat darslari, partiyalar, spektakllar, bolalar uchun tadbirlar va kelgusi dam olish kunlaridagi boshqa tadbirlar — tanlovda",yetti kino premyerasi toshkent sirkidagi ochiq eshiklar kuni sharq bozori yarmarkasi sakura run yugurishi konsertlar korgazmalar ijodiy mahorat darslari partiyalar spektakllar bolalar uchun tadbirlar va kelgusi dam olish kunlaridagi boshqa tadbirlar tanlovda,1
Qozog'iston va Xitoy hukumatlari o'z fuqarolari uchun vizasiz rejimni har ikki yo'nalishda ham joriy etishni rejalashtirmoqda. Vizasiz qolish muddati chegarani kesib o'tgan kundan boshlab 30 kun bo'ladi.,qozogiston va xitoy hukumatlari oz fuqarolari uchun vizasiz rejimni har ikki yonalishda ham joriy etishni rejalashtirmoqda vizasiz qolish muddati chegarani kesib otgan kundan boshlab kun boladi,1
"Senatorlar banklarning ustav kapitalini 2025 yilgacha bosqichma-bosqich 500 mlrd so'mgacha oshirishni nazarda tutuvchi tuzatishlarni ma'qulladilar. Bundan tashqari, aktsiyadorlari va yakuniy benefitsiarlari offshor zonada bo'lgan norezidentlar uchun talablar yumshatilmoqda. Markaziy bank rahbarining o'rinbosari Behzod Hamrayev o'zgarishlarni tushuntirdi.",senatorlar banklarning ustav kapitalini yilgacha bosqichma bosqich mlrd somgacha oshirishni nazarda tutuvchi tuzatishlarni maqulladilar bundan tashqari aktsiyadorlari va yakuniy benefitsiarlari offshor zonada bolgan norezidentlar uchun talablar yumshatilmoqda markaziy bank rahbarining orinbosari behzod hamrayev ozgarishlarni tushuntirdi,0
Taxtakaracha dovonida yuk mashinasi jarlikdan qulab tushdi va yonib ketdi. Haydovchi va yo'lovchi kabinadan sakrashga muvaffaq bo'lishdi.,taxtakaracha dovonida yuk mashinasi jarlikdan qulab tushdi va yonib ketdi haydovchi va yolovchi kabinadan sakrashga muvaffaq bolishdi,0
"""Kelgusi uch yil ichida biz tayyor mahsulot eksportini ikki baravar oshirishni rejalashtirmoqdamiz. Bunga erishishning yagona yo'li JST a'zosi bo'lishdir. Bu 164 mamlakat bilan adolatli savdo tizimini yo'lga qo'yish va barqaror bozorlarga ega bo'lish imkonini beradi"", dedi prezident mamlakatning tashkilotga kirish jarayoni bilan tanishib.",kelgusi uch yil ichida biz tayyor mahsulot eksportini ikki baravar oshirishni rejalashtirmoqdamiz bunga erishishning yagona yoli jst azosi bolishdir bu mamlakat bilan adolatli savdo tizimini yolga qoyish va barqaror bozorlarga ega bolish imkonini beradi dedi prezident mamlakatning tashkilotga kirish jarayoni bilan tanishib,1
"Rossiya tashqi ishlar vaziri Sergey Lavrov O'zbekistonga tashrifi chog'ida gaz Ittifoqi loyihasini muhokama qilishda O'zbekiston, Qozog'iston va Rossiya, shu jumladan prezidentlar darajasida faol rivojlanganligini ma'lum qildi.",rossiya tashqi ishlar vaziri sergey lavrov ozbekistonga tashrifi chogida gaz ittifoqi loyihasini muhokama qilishda ozbekiston qozogiston va rossiya shu jumladan prezidentlar darajasida faol rivojlanganligini malum qildi,1
"Activist loyihasi muallifi Xodjiakbar Nosirov ""Haram yogurtlari"" videosi uchun 15 kunga hibsga olingan bo'lib, suddan advokatining shikoyatini ko'rib chiqmasdan qoldirishni so'radi, dedi poytaxt sudlari matbuot xizmati. Himoyachi o'z bayonotida tergov va sud jarayonida yuzaga kelishi mumkin bo'lgan qonunbuzarliklarni qayd etdi.",activist loyihasi muallifi xodjiakbar nosirov haram yogurtlari videosi uchun kunga hibsga olingan bolib suddan advokatining shikoyatini korib chiqmasdan qoldirishni soradi dedi poytaxt sudlari matbuot xizmati himoyachi oz bayonotida tergov va sud jarayonida yuzaga kelishi mumkin bolgan qonunbuzarliklarni qayd etdi,1
"2024 yilda Samarqandga MDH madaniy poytaxti, Toshkentga esa yoshlar poytaxti maqomi beriladi. Bundan tashqari, Hamdo'stlik mamlakatlari har to'rt yilda nogiron bolalar uchun spartakiada o'tkazishga qaror qilishdi",yilda samarqandga mdh madaniy poytaxti toshkentga esa yoshlar poytaxti maqomi beriladi bundan tashqari hamdostlik mamlakatlari har tort yilda nogiron bolalar uchun spartakiada otkazishga qaror qilishdi,1
"Markaziy bank ikki oydan so'ng aholining sezilgan inflyatsiyasi to'g'risidagi ma'lumotlarni nashr etishni qayta boshladi. Yanvar oyida bu ko'rsatkich 19,5% gacha ko'tarildi, bu 2020 yil iyulidan beri koronavirus pandemiyasi avj olgan paytdan beri eng yuqori ko'rsatkichdir, ammo shunga qaramay rasmiy inflyatsiya bilan bo'shliq pastroq edi.",markaziy bank ikki oydan song aholining sezilgan inflyatsiyasi togrisidagi malumotlarni nashr etishni qayta boshladi yanvar oyida bu korsatkich gacha kotarildi bu yil iyulidan beri koronavirus pandemiyasi avj olgan paytdan beri eng yuqori korsatkichdir ammo shunga qaramay rasmiy inflyatsiya bilan boshliq pastroq edi,0
"Milanda Tashkent modernizm ko'rgazmasi taqdim etiladi.Index, uning maqsadi Toshkentning modernistik arxitekturasini hujjatlashtirish, talqin qilish va saqlashdir. Shuningdek, poytaxtdagi modernizm yodgorliklari bo'ylab piyoda marshrutni ishlab chiqish rejalashtirilgan.",milanda tashkent modernizm korgazmasi taqdim etiladiindex uning maqsadi toshkentning modernistik arxitekturasini hujjatlashtirish talqin qilish va saqlashdir shuningdek poytaxtdagi modernizm yodgorliklari boylab piyoda marshrutni ishlab chiqish rejalashtirilgan,1
"Andijon viloyati hokimligi prokuraturaga hokim Shuhrat Abdurahmonovning sha'ni va qadr-qimmatini kamsituvchi ma ' lumotlar tarqatilganligi yuzasidan ariza yuborilganini ma'lum qildi. Avvalroq, ommaviy axborot vositalari, shu jumladan davlat ommaviy axborot vositalari, Abdurahmonovning tarmoqda hokim bilan yaqin video paydo bo'lganidan keyin ishdan bo'shatilganini e'lon qilgan edi.",andijon viloyati hokimligi prokuraturaga hokim shuhrat abdurahmonovning shani va qadr qimmatini kamsituvchi ma lumotlar tarqatilganligi yuzasidan ariza yuborilganini malum qildi avvalroq ommaviy axborot vositalari shu jumladan davlat ommaviy axborot vositalari abdurahmonovning tarmoqda hokim bilan yaqin video paydo bolganidan keyin ishdan boshatilganini elon qilgan edi,0
Inklyuziv biznes-forum 27 aprel kuni Toshkentda bo'lib o'tadi. Tadbirkorlarga inklyuziv ish bilan ta'minlashning muvaffaqiyatli holatlari va nogironligi bo'lgan ish beruvchilar uchun davlat tomonidan beriladigan subsidiyalar va imtiyozlar to'g'risida ma'lumot beriladi.,inklyuziv biznes forum aprel kuni toshkentda bolib otadi tadbirkorlarga inklyuziv ish bilan taminlashning muvaffaqiyatli holatlari va nogironligi bolgan ish beruvchilar uchun davlat tomonidan beriladigan subsidiyalar va imtiyozlar togrisida malumot beriladi,1
Xorazm viloyatida erta tongda kuzatilgan kuchli shamol endi boshqa mintaqalarda kuzatilmoqda. Buxoro (birinchi) va Navoiy viloyatlaridan kelgan chang bo'roni haqidagi ushbu videolar Navoiy viloyati Gidrometeorologiya boshqarmasining Telegram kanali tomonidan chop etilgan.,xorazm viloyatida erta tongda kuzatilgan kuchli shamol endi boshqa mintaqalarda kuzatilmoqda buxoro birinchi va navoiy viloyatlaridan kelgan chang boroni haqidagi ushbu videolar navoiy viloyati gidrometeorologiya boshqarmasining telegram kanali tomonidan chop etilgan,0
"Prezident farmoni bilan O'zbekistonga sement, kontrplak, qolip va boshqa qurilish materiallari importi 2025 yilgacha bojxona to'lovlaridan ozod qilinadi. Avvalroq, davlat rahbari ushbu chora uy-joy qurish narxini pasaytirishga qaratilganligini ma'lum qilgan edi.",prezident farmoni bilan ozbekistonga sement kontrplak qolip va boshqa qurilish materiallari importi yilgacha bojxona tolovlaridan ozod qilinadi avvalroq davlat rahbari ushbu chora uy joy qurish narxini pasaytirishga qaratilganligini malum qilgan edi,1
"Kaspiy dengizi mintaqalaridan Turkmaniston orqali salqin va nam havo massalari kirib kelishi natijasida dam olish kunlari kunduzgi harorat +25 darajaga, kechasi — +15 ga tushadi. 25-28 m/s gacha shamol esishi mumkin.",kaspiy dengizi mintaqalaridan turkmaniston orqali salqin va nam havo massalari kirib kelishi natijasida dam olish kunlari kunduzgi harorat darajaga kechasi ga tushadi m s gacha shamol esishi mumkin,1
"️ ️ Bir qator Internet ommaviy axborot vositalari, jumladan, davlat ommaviy axborot vositalari Andijon viloyatini qariyb 10 yil davomida boshqargan Shuhrat Abdurahmonovning ishdan bo'shatilgani haqida xabar berdi. Bundan oldin hokim bilan yaqin video paydo bo'lgan. Ushbu ma'lumot rasmiy ravishda tasdiqlanmagan. Ommaviy axborot vositalari o'zlarini rad etishni boshladilar.",bir qator internet ommaviy axborot vositalari jumladan davlat ommaviy axborot vositalari andijon viloyatini qariyb yil davomida boshqargan shuhrat abdurahmonovning ishdan boshatilgani haqida xabar berdi bundan oldin hokim bilan yaqin video paydo bolgan ushbu malumot rasmiy ravishda tasdiqlanmagan ommaviy axborot vositalari ozlarini rad etishni boshladilar,0
